,Date,Price,Open,High,Low
0,1975-01-03,174.7,173.0,175.5,170.5
1,1975-01-04,174.7,173.0,175.5,170.5
2,1975-01-05,174.7,173.0,175.5,170.5
3,1975-01-06,174.4,172.0,174.5,167.5
4,1975-01-07,173.4,171.0,174.0,168.5
5,1975-01-08,177.4,176.0,180.0,176.0
6,1975-01-09,178.3,179.0,179.1,177.0
7,1975-01-10,181.3,177.0,181.3,176.5
8,1975-01-11,181.3,177.0,181.3,176.5
9,1975-01-12,181.3,177.0,181.3,176.5
10,1975-01-13,178.6,181.0,181.0,178.6
11,1975-01-14,178.6,177.0,178.6,176.5
12,1975-01-15,177.3,178.8,179.4,177.3
13,1975-01-16,175.1,177.0,177.0,174.6
14,1975-01-17,172.1,174.7,175.8,172.1
15,1975-01-18,172.1,174.7,175.8,172.1
16,1975-01-19,172.1,174.7,175.8,172.1
17,1975-01-20,176.2,173.6,176.2,173.6
18,1975-01-21,173.7,173.7,173.7,173.7
19,1975-01-22,174.3,175.9,175.9,174.3
20,1975-01-23,176.4,177.0,178.9,176.4
21,1975-01-24,179.5,179.0,180.0,177.8
22,1975-01-25,179.5,179.0,180.0,177.8
23,1975-01-26,179.5,179.0,180.0,177.8
24,1975-01-27,176.8,180.0,180.0,176.8
25,1975-01-28,176.0,177.3,177.3,175.4
26,1975-01-29,179.1,177.4,179.1,177.4
27,1975-01-30,178.3,179.7,180.7,178.0
28,1975-01-31,178.0,178.0,178.4,177.0
29,1975-02-01,178.0,178.0,178.4,177.0
30,1975-02-02,178.0,178.0,178.4,177.0
31,1975-02-03,178.3,179.1,179.7,178.1
32,1975-02-04,177.3,176.5,177.5,175.6
33,1975-02-05,176.7,177.2,177.7,176.5
34,1975-02-06,176.3,174.9,176.7,174.1
35,1975-02-07,177.3,177.2,177.4,176.4
36,1975-02-08,177.3,177.2,177.4,176.4
37,1975-02-09,177.3,177.2,177.4,176.4
38,1975-02-10,175.6,176.0,176.4,175.5
39,1975-02-11,176.8,176.3,177.1,171.3
40,1975-02-12,176.8,176.3,177.1,171.3
41,1975-02-13,185.8,180.5,186.7,180.2
42,1975-02-14,184.9,186.0,186.8,182.5
43,1975-02-15,184.9,186.0,186.8,182.5
44,1975-02-16,184.9,186.0,186.8,182.5
45,1975-02-17,184.9,186.0,186.8,182.5
46,1975-02-18,185.4,182.0,185.7,181.7
47,1975-02-19,185.6,186.0,188.0,185.5
48,1975-02-20,187.7,185.7,188.4,185.4
49,1975-02-21,186.0,188.0,188.5,185.0
50,1975-02-22,186.0,188.0,188.5,185.0
51,1975-02-23,186.0,188.0,188.5,185.0
52,1975-02-24,186.9,186.7,187.5,186.7
53,1975-02-25,184.4,189.0,189.0,184.1
54,1975-02-26,185.2,185.5,185.7,183.2
55,1975-02-27,182.5,184.2,184.9,181.4
56,1975-02-28,183.0,183.0,183.0,181.0
57,1975-03-01,183.0,183.0,183.0,181.0
58,1975-03-02,183.0,183.0,183.0,181.0
59,1975-03-03,182.6,183.3,187.5,182.2
60,1975-03-04,177.0,181.5,185.0,177.0
61,1975-03-05,178.7,177.0,180.1,176.4
62,1975-03-06,180.6,179.8,181.4,179.8
63,1975-03-07,178.0,179.5,179.5,176.8
64,1975-03-08,178.0,179.5,179.5,176.8
65,1975-03-09,178.0,179.5,179.5,176.8
66,1975-03-10,177.2,177.1,177.8,176.1
67,1975-03-11,180.0,179.1,180.5,178.7
68,1975-03-12,178.1,178.0,178.7,177.6
69,1975-03-13,179.5,178.9,180.0,178.9
70,1975-03-14,178.7,178.4,178.7,178.1
71,1975-03-15,178.7,178.4,178.7,178.1
72,1975-03-16,178.7,178.4,178.7,178.1
73,1975-03-17,179.0,178.5,179.3,177.6
74,1975-03-18,178.6,179.0,179.5,178.3
75,1975-03-19,179.2,179.2,179.4,178.5
76,1975-03-20,175.5,178.8,178.8,175.0
77,1975-03-21,175.6,176.5,177.0,175.5
78,1975-03-22,175.6,176.5,177.0,175.5
79,1975-03-23,175.6,176.5,177.0,175.5
80,1975-03-24,175.9,176.8,178.8,175.2
81,1975-03-25,176.2,177.2,177.2,175.7
82,1975-03-26,178.1,176.5,178.2,176.5
83,1975-03-27,176.0,177.8,178.0,175.4
84,1975-03-28,176.0,177.8,178.0,175.4
85,1975-03-29,176.0,177.8,178.0,175.4
86,1975-03-30,176.0,177.8,178.0,175.4
87,1975-03-31,179.5,178.2,179.7,178.0
88,1975-04-01,179.1,179.7,179.7,178.4
89,1975-04-02,178.1,179.6,179.9,177.9
90,1975-04-03,177.1,177.5,177.5,176.0
91,1975-04-04,173.8,175.5,175.9,173.3
92,1975-04-05,173.8,175.5,175.9,173.3
93,1975-04-06,173.8,175.5,175.9,173.3
94,1975-04-07,174.1,174.5,174.5,173.0
95,1975-04-08,174.5,175.2,175.6,174.4
96,1975-04-09,174.5,174.0,174.7,173.3
97,1975-04-10,173.1,173.7,173.7,172.1
98,1975-04-11,172.7,173.3,173.3,172.2
99,1975-04-12,172.7,173.3,173.3,172.2
100,1975-04-13,172.7,173.3,173.3,172.2
101,1975-04-14,166.2,169.0,169.7,165.8
102,1975-04-15,164.6,163.0,165.7,162.3
103,1975-04-16,166.5,166.5,167.4,166.1
104,1975-04-17,169.5,167.5,170.2,166.9
105,1975-04-18,169.0,170.8,171.0,168.4
106,1975-04-19,169.0,170.8,171.0,168.4
107,1975-04-20,169.0,170.8,171.0,168.4
108,1975-04-21,165.7,166.0,166.4,164.9
109,1975-04-22,166.7,165.1,168.0,165.0
110,1975-04-23,168.8,166.9,169.5,165.8
