,Date,Price,Open,High,Low
0,1979-12-26,107.8,107.8,108.4,107.1
1,1979-12-27,108.0,108.0,108.5,107.1
2,1979-12-28,107.8,107.8,108.6,107.2
3,1979-12-29,107.8,107.8,108.6,107.2
4,1979-12-30,107.8,107.8,108.6,107.2
5,1979-12-31,107.9,107.9,108.5,107.3
6,1980-01-01,107.9,107.9,107.9,107.9
7,1980-01-02,105.8,105.8,108.4,105.3
8,1980-01-03,105.2,105.2,106.1,103.3
9,1980-01-04,106.5,106.5,107.1,105.1
10,1980-01-05,106.5,106.5,107.1,105.1
11,1980-01-06,106.5,106.5,107.1,105.1
12,1980-01-07,106.8,106.8,107.8,105.8
13,1980-01-08,108.9,108.9,109.3,106.3
14,1980-01-09,109.1,109.1,111.1,108.4
15,1980-01-10,109.9,109.9,110.9,108.5
16,1980-01-11,109.9,109.9,111.2,108.9
17,1980-01-12,109.9,109.9,111.2,108.9
18,1980-01-13,109.9,109.9,111.2,108.9
19,1980-01-14,110.4,110.4,111.4,109.3
20,1980-01-15,111.1,111.1,111.9,109.4
21,1980-01-16,111.1,111.1,112.9,110.4
22,1980-01-17,110.7,110.7,112.0,109.8
23,1980-01-18,111.1,111.1,111.7,109.7
24,1980-01-19,111.1,111.1,111.7,109.7
25,1980-01-20,111.1,111.1,111.7,109.7
26,1980-01-21,112.1,112.1,112.9,110.7
27,1980-01-22,111.5,111.5,113.1,110.9
28,1980-01-23,113.4,113.4,113.9,110.9
29,1980-01-24,113.7,113.7,115.3,112.9
30,1980-01-25,113.6,113.6,114.4,112.4
31,1980-01-26,113.6,113.6,114.4,112.4
32,1980-01-27,113.6,113.6,114.4,112.4
33,1980-01-28,114.8,114.8,115.7,112.9
34,1980-01-29,114.1,114.1,115.8,113.0
35,1980-01-30,115.2,115.2,115.8,113.4
36,1980-01-31,114.2,114.2,117.2,113.8
37,1980-02-01,115.1,115.1,115.5,113.1
38,1980-02-02,115.1,115.1,115.5,113.1
39,1980-02-03,115.1,115.1,115.5,113.1
40,1980-02-04,114.4,114.4,116.0,113.8
41,1980-02-05,114.7,114.7,115.2,112.2
42,1980-02-06,115.7,115.7,116.6,113.7
43,1980-02-07,116.3,116.3,117.9,115.2
44,1980-02-08,117.9,117.9,118.7,115.7
45,1980-02-09,117.9,117.9,118.7,115.7
46,1980-02-10,117.9,117.9,118.7,115.7
47,1980-02-11,117.1,117.1,119.1,116.3
48,1980-02-12,117.9,117.9,118.4,115.8
49,1980-02-13,118.4,118.4,120.2,117.6
50,1980-02-14,116.7,116.7,119.3,116.0
51,1980-02-15,115.4,115.4,116.7,114.1
52,1980-02-16,115.4,115.4,116.7,114.1
53,1980-02-17,115.4,115.4,116.7,114.1
54,1980-02-18,115.4,115.4,115.4,115.4
55,1980-02-19,114.6,114.6,115.7,113.3
56,1980-02-20,116.5,116.5,117.2,114.1
57,1980-02-21,115.3,115.3,117.9,114.4
58,1980-02-22,115.0,115.0,116.5,113.4
59,1980-02-23,115.0,115.0,116.5,113.4
60,1980-02-24,115.0,115.0,116.5,113.4
61,1980-02-25,113.3,113.3,114.9,112.6
62,1980-02-26,114.0,114.0,114.8,112.3
63,1980-02-27,112.4,112.4,115.1,111.9
64,1980-02-28,112.3,112.3,113.7,111.3
65,1980-02-29,113.7,113.7,114.1,111.8
66,1980-03-01,113.7,113.7,114.1,111.8
67,1980-03-02,113.7,113.7,114.1,111.8
68,1980-03-03,112.5,112.5,114.3,112.0
69,1980-03-04,112.8,112.8,113.4,110.8
70,1980-03-05,111.1,111.1,113.9,110.6
71,1980-03-06,108.7,108.7,111.3,107.8
72,1980-03-07,106.9,106.9,109.0,106.0
73,1980-03-08,106.9,106.9,109.0,106.0
74,1980-03-09,106.9,106.9,109.0,106.0
75,1980-03-10,106.5,106.5,107.9,104.9
76,1980-03-11,107.8,107.8,108.5,106.2
77,1980-03-12,106.9,106.9,108.4,105.4
78,1980-03-13,105.6,105.6,107.6,105.1
79,1980-03-14,105.4,105.4,106.5,104.0
80,1980-03-15,105.4,105.4,106.5,104.0
81,1980-03-16,105.4,105.4,106.5,104.0
82,1980-03-17,102.3,102.3,105.2,101.8
83,1980-03-18,104.1,104.1,104.7,101.1
84,1980-03-19,104.3,104.3,105.7,103.3
85,1980-03-20,103.1,103.1,105.2,102.5
86,1980-03-21,102.3,102.3,103.7,101.6
87,1980-03-22,102.3,102.3,103.7,101.6
88,1980-03-23,102.3,102.3,103.7,101.6
89,1980-03-24,99.3,99.3,102.2,98.9
90,1980-03-25,99.2,99.2,100.6,97.9
91,1980-03-26,98.7,98.7,101.2,98.1
92,1980-03-27,98.2,98.2,99.6,94.2
93,1980-03-28,100.7,100.7,101.4,97.7
94,1980-03-29,100.7,100.7,101.4,97.7
95,1980-03-30,100.7,100.7,101.4,97.7
96,1980-03-31,102.1,102.1,102.7,100.0
97,1980-04-01,102.2,102.2,103.3,100.8
98,1980-04-02,102.7,102.7,103.9,101.4
99,1980-04-03,102.2,102.2,103.3,101.3
100,1980-04-04,102.2,102.2,103.3,101.3
101,1980-04-05,102.2,102.2,103.3,101.3
102,1980-04-06,102.2,102.2,103.3,101.3
103,1980-04-07,100.2,100.2,102.3,99.7
104,1980-04-08,101.2,101.2,101.9,99.2
105,1980-04-09,103.1,103.1,103.6,101.0
106,1980-04-10,104.1,104.1,105.0,102.8
107,1980-04-11,103.8,103.8,105.2,103.2
108,1980-04-12,103.8,103.8,105.2,103.2
109,1980-04-13,103.8,103.8,105.2,103.2
110,1980-04-14,102.8,102.8,103.9,102.1
111,1980-04-15,102.6,102.6,103.9,101.8
112,1980-04-16,101.5,101.5,104.4,101.1
113,1980-04-17,101.1,101.1,102.2,100.1
114,1980-04-18,100.6,100.6,102.1,100.0
115,1980-04-19,100.6,100.6,102.1,100.0
116,1980-04-20,100.6,100.6,102.1,100.0
117,1980-04-21,99.8,99.8,101.3,98.9
118,1980-04-22,103.4,103.4,104.0,100.8
119,1980-04-23,103.7,103.7,105.1,102.8
120,1980-04-24,104.4,104.4,105.4,102.9
121,1980-04-25,105.2,105.2,105.6,103.0
122,1980-04-26,105.2,105.2,105.6,103.0
123,1980-04-27,105.2,105.2,105.6,103.0
124,1980-04-28,105.6,105.6,106.8,104.6
125,1980-04-29,105.9,105.9,106.7,104.9
126,1980-04-30,106.3,106.3,106.7,104.5
127,1980-05-01,105.5,105.5,106.9,104.7
128,1980-05-02,105.6,105.6,106.2,104.6
129,1980-05-03,105.6,105.6,106.2,104.6
130,1980-05-04,105.6,105.6,106.2,104.6
131,1980-05-05,106.4,106.4,106.8,104.6
132,1980-05-06,106.2,106.2,107.8,105.4
133,1980-05-07,107.2,107.2,108.1,105.6
134,1980-05-08,106.1,106.1,108.0,105.5
135,1980-05-09,104.7,104.7,106.2,104.2
136,1980-05-10,104.7,104.7,106.2,104.2
137,1980-05-11,104.7,104.7,106.2,104.2
138,1980-05-12,104.8,104.8,105.5,103.5
139,1980-05-13,106.3,106.3,106.8,104.4
140,1980-05-14,106.8,106.8,107.9,106.0
141,1980-05-15,107.0,107.0,108.0,106.1
142,1980-05-16,107.3,107.3,107.9,106.2
143,1980-05-17,107.3,107.3,107.9,106.2
144,1980-05-18,107.3,107.3,107.9,106.2
145,1980-05-19,107.7,107.7,108.4,106.5
146,1980-05-20,107.6,107.6,108.4,106.8
147,1980-05-21,107.7,107.7,108.3,106.5
148,1980-05-22,109.0,107.9,109.7,107.3
149,1980-05-23,110.6,109.8,111.4,109.0
150,1980-05-24,110.6,109.8,111.4,109.0
151,1980-05-25,110.6,109.8,111.4,109.0
152,1980-05-26,110.6,109.8,111.4,109.0
153,1980-05-27,111.4,111.2,112.3,110.3
154,1980-05-28,112.1,111.2,112.7,110.4
155,1980-05-29,110.3,112.1,112.6,109.9
156,1980-05-30,111.2,109.5,111.6,108.9
157,1980-05-31,111.2,109.5,111.6,108.9
158,1980-06-01,111.2,109.5,111.6,108.9
159,1980-06-02,110.8,110.9,112.2,110.1
160,1980-06-03,110.5,110.6,111.6,109.8
161,1980-06-04,112.6,110.7,113.4,110.2
162,1980-06-05,112.8,113.3,114.4,111.9
163,1980-06-06,113.2,112.9,114.0,112.1
