,Date,Price,Open,High,Low
0,1990-01-09,7.646,7.646,7.646,7.646
1,1990-01-10,7.655,7.655,7.655,7.655
2,1990-01-11,7.716,7.716,7.716,7.716
3,1990-01-12,7.627,7.627,7.627,7.627
4,1990-01-13,7.627,7.627,7.627,7.627
5,1990-01-14,7.627,7.627,7.627,7.627
6,1990-01-15,7.627,7.627,7.627,7.627
7,1990-01-16,7.627,7.627,7.627,7.627
8,1990-01-17,7.627,7.627,7.627,7.627
9,1990-01-18,7.627,7.627,7.627,7.627
10,1990-01-19,7.627,7.627,7.627,7.627
11,1990-01-20,7.627,7.627,7.627,7.627
12,1990-01-21,7.627,7.627,7.627,7.627
13,1990-01-22,7.794,7.794,7.794,7.794
14,1990-01-23,7.865,7.865,7.865,7.865
15,1990-01-24,7.822,7.822,7.822,7.822
16,1990-01-25,7.862,7.862,7.862,7.862
17,1990-01-26,7.836,7.836,7.836,7.836
18,1990-01-27,7.836,7.836,7.836,7.836
19,1990-01-28,7.836,7.836,7.836,7.836
20,1990-01-29,7.836,7.836,7.836,7.836
21,1990-01-30,7.836,7.836,7.836,7.836
22,1990-01-31,7.836,7.836,7.836,7.836
23,1990-02-01,7.836,7.836,7.836,7.836
24,1990-02-02,7.836,7.836,7.836,7.836
25,1990-02-03,7.836,7.836,7.836,7.836
26,1990-02-04,7.836,7.836,7.836,7.836
27,1990-02-05,7.981,7.981,7.981,7.981
28,1990-02-06,7.981,7.981,7.981,7.981
29,1990-02-07,7.967,7.967,7.967,7.967
30,1990-02-08,7.966,7.966,7.966,7.966
31,1990-02-09,7.908,7.908,7.908,7.908
32,1990-02-10,7.908,7.908,7.908,7.908
33,1990-02-11,7.908,7.908,7.908,7.908
34,1990-02-12,7.825,7.825,7.825,7.825
35,1990-02-13,7.719,7.719,7.719,7.719
36,1990-02-14,7.78,7.78,7.78,7.78
37,1990-02-15,7.862,7.862,7.862,7.862
38,1990-02-16,7.844,7.844,7.844,7.844
39,1990-02-17,7.844,7.844,7.844,7.844
40,1990-02-18,7.844,7.844,7.844,7.844
41,1990-02-19,7.844,7.844,7.844,7.844
42,1990-02-20,7.946,7.946,7.946,7.946
43,1990-02-21,7.957,7.957,7.957,7.957
44,1990-02-22,7.862,7.862,7.862,7.862
45,1990-02-23,7.825,7.825,7.825,7.825
46,1990-02-24,7.825,7.825,7.825,7.825
47,1990-02-25,7.825,7.825,7.825,7.825
48,1990-02-26,7.877,7.877,7.877,7.877
49,1990-02-27,7.886,7.886,7.886,7.886
50,1990-02-28,7.926,7.926,7.926,7.926
51,1990-03-01,7.926,7.926,7.926,7.926
52,1990-03-02,7.929,7.929,7.929,7.929
53,1990-03-03,7.929,7.929,7.929,7.929
54,1990-03-04,7.929,7.929,7.929,7.929
55,1990-03-05,8.065,8.065,8.065,8.065
56,1990-03-06,8.063,8.063,8.063,8.063
57,1990-03-07,8.082,8.082,8.082,8.082
58,1990-03-08,8.09,8.09,8.09,8.09
59,1990-03-09,8.147,8.147,8.147,8.147
60,1990-03-10,8.147,8.147,8.147,8.147
61,1990-03-11,8.147,8.147,8.147,8.147
62,1990-03-12,8.117,8.117,8.117,8.117
63,1990-03-13,8.115,8.115,8.115,8.115
64,1990-03-14,8.155,8.155,8.155,8.155
65,1990-03-15,8.101,8.101,8.101,8.101
66,1990-03-16,8.095,8.095,8.095,8.095
67,1990-03-17,8.095,8.095,8.095,8.095
68,1990-03-18,8.095,8.095,8.095,8.095
69,1990-03-19,8.095,8.095,8.095,8.095
70,1990-03-20,8.146,8.146,8.146,8.146
71,1990-03-21,8.144,8.144,8.144,8.144
72,1990-03-22,8.101,8.101,8.101,8.101
73,1990-03-23,8.054,8.054,8.054,8.054
74,1990-03-24,8.054,8.054,8.054,8.054
75,1990-03-25,8.054,8.054,8.054,8.054
76,1990-03-26,8.033,8.033,8.033,8.033
77,1990-03-27,8.063,8.063,8.063,8.063
