,Date,Price,Open,High,Low
0,1987-08-20,8.028,8.028,8.028,8.028
1,1987-08-21,8.021,8.021,8.021,8.021
2,1987-08-22,8.021,8.021,8.021,8.021
3,1987-08-23,8.021,8.021,8.021,8.021
4,1987-08-24,8.021,8.021,8.021,8.021
5,1987-08-25,8.021,8.021,8.021,8.021
6,1987-08-26,8.021,8.021,8.021,8.021
7,1987-08-27,8.021,8.021,8.021,8.021
8,1987-08-28,8.021,8.021,8.021,8.021
9,1987-08-29,8.021,8.021,8.021,8.021
10,1987-08-30,8.021,8.021,8.021,8.021
11,1987-08-31,8.546,8.546,8.546,8.546
12,1987-09-01,8.546,8.546,8.546,8.546
13,1987-09-02,8.775,8.775,8.775,8.775
14,1987-09-03,8.798,8.798,8.798,8.798
15,1987-09-04,8.844,8.844,8.844,8.844
16,1987-09-05,8.844,8.844,8.844,8.844
17,1987-09-06,8.844,8.844,8.844,8.844
18,1987-09-07,8.844,8.844,8.844,8.844
19,1987-09-08,9.062,9.062,9.062,9.062
20,1987-09-09,9.062,9.062,9.062,9.062
21,1987-09-10,8.992,8.992,8.992,8.992
22,1987-09-11,8.93,8.93,8.93,8.93
23,1987-09-12,8.93,8.93,8.93,8.93
24,1987-09-13,8.93,8.93,8.93,8.93
25,1987-09-14,8.899,8.899,8.899,8.899
26,1987-09-15,8.985,8.985,8.985,8.985
27,1987-09-16,9.032,9.032,9.032,9.032
28,1987-09-17,9.017,9.017,9.017,9.017
29,1987-09-18,8.931,8.931,8.931,8.931
30,1987-09-19,8.931,8.931,8.931,8.931
31,1987-09-20,8.931,8.931,8.931,8.931
32,1987-09-21,8.931,8.931,8.931,8.931
33,1987-09-22,8.9,8.9,8.9,8.9
34,1987-09-23,8.9,8.9,8.9,8.9
35,1987-09-24,8.9,8.9,8.9,8.9
36,1987-09-25,8.9,8.9,8.9,8.9
37,1987-09-26,8.9,8.9,8.9,8.9
38,1987-09-27,8.9,8.9,8.9,8.9
39,1987-09-28,8.9,8.9,8.9,8.9
40,1987-09-29,9.977,9.977,9.977,9.977
41,1987-09-30,9.232,9.232,9.232,9.232
42,1987-10-01,9.225,9.225,9.225,9.225
43,1987-10-02,9.194,9.194,9.194,9.194
44,1987-10-03,9.194,9.194,9.194,9.194
45,1987-10-04,9.194,9.194,9.194,9.194
46,1987-10-05,9.25,9.25,9.25,9.25
47,1987-10-06,9.33,9.33,9.33,9.33
48,1987-10-07,9.33,9.33,9.33,9.33
49,1987-10-08,9.5,9.5,9.5,9.5
50,1987-10-09,9.558,9.558,9.558,9.558
