"Date","Price","Open","High","Low","Change %"
"03/07/2025","2.439","2.451","2.451","2.439","-2.52%"
"03/06/2025","2.502","2.523","2.523","2.502","-0.83%"
"03/05/2025","2.523","2.558","2.558","2.523","-1.41%"
"03/04/2025","2.559","2.569","2.569","2.559","-0.39%"
"03/03/2025","2.569","2.588","2.588","2.569","0.78%"
"02/28/2025","2.549","2.554","2.554","2.549","-0.23%"
"02/27/2025","2.555","2.558","2.558","2.555","-0.16%"
"02/26/2025","2.559","2.563","2.563","2.559","-0.20%"
"02/25/2025","2.564","2.579","2.579","2.564","-0.62%"
"02/24/2025","2.580","2.583","2.583","2.580","-0.15%"
"02/21/2025","2.584","2.584","2.584","2.584","-0.08%"
"02/20/2025","2.586","2.597","2.597","2.586","-0.42%"
"02/19/2025","2.597","2.597","2.597","2.597","-0.04%"
"02/18/2025","2.598","2.581","2.598","2.581","0.66%"
"02/17/2025","2.581","2.581","2.581","2.581","0.00%"
"02/14/2025","2.581","2.591","2.591","2.581","-0.42%"
"02/13/2025","2.592","2.573","2.592","2.573","0.74%"
"02/12/2025","2.573","2.555","2.573","2.555","0.70%"
"02/11/2025","2.555","2.527","2.555","2.527","1.07%"
"02/10/2025","2.528","2.507","2.528","2.507","0.84%"
"02/07/2025","2.507","2.508","2.508","2.507","-0.08%"
"02/06/2025","2.509","2.458","2.509","2.458","2.07%"
"02/05/2025","2.458","2.464","2.464","2.458","-0.24%"
"02/04/2025","2.464","2.471","2.471","2.464","-0.28%"
"02/03/2025","2.471","2.476","2.476","2.471","2.19%"
"01/31/2025","2.418","2.418","2.418","2.418","0.00%"
"01/30/2025","2.418","2.418","2.418","2.418","0.00%"
"01/29/2025","2.418","2.418","2.418","2.418","0.00%"
"01/28/2025","2.418","2.418","2.418","2.418","0.00%"
"01/27/2025","2.418","2.418","2.418","2.418","-2.03%"
"01/24/2025","2.468","2.468","2.468","2.468","-0.12%"
"01/23/2025","2.471","2.506","2.506","2.471","-1.40%"
"01/22/2025","2.506","2.510","2.510","2.506","-0.16%"
"01/21/2025","2.510","2.524","2.524","2.510","-0.55%"
"01/20/2025","2.524","2.543","2.543","2.524","-0.75%"
"01/17/2025","2.543","2.536","2.543","2.536","0.24%"
"01/16/2025","2.537","2.546","2.546","2.537","-0.35%"
"01/15/2025","2.546","2.567","2.567","2.546","-0.86%"
"01/14/2025","2.568","2.572","2.572","2.568","-0.16%"
"01/13/2025","2.572","2.508","2.572","2.508","2.51%"
"01/10/2025","2.509","2.454","2.509","2.454","2.20%"
"01/09/2025","2.455","2.455","2.455","2.455","0.00%"
"01/08/2025","2.455","2.455","2.455","2.455","0.00%"
"01/07/2025","2.455","2.450","2.455","2.450","0.20%"
"01/06/2025","2.450","2.452","2.452","2.450","-0.08%"
"01/03/2025","2.452","2.447","2.452","2.447","0.16%"
"01/02/2025","2.448","2.447","2.448","2.447","0.33%"
"12/31/2024","2.440","2.440","2.440","2.440","-0.04%"
"12/30/2024","2.441","2.441","2.441","2.441","0.00%"
"12/27/2024","2.441","2.441","2.441","2.441","-0.04%"
"12/26/2024","2.442","2.454","2.454","2.442","-0.49%"
"12/25/2024","2.454","2.454","2.454","2.454","-0.04%"
"12/24/2024","2.455","2.457","2.457","2.455","-0.12%"
"12/23/2024","2.458","2.438","2.458","2.438","0.82%"
"12/20/2024","2.438","2.377","2.438","2.377","2.52%"
"12/19/2024","2.378","2.256","2.378","2.256","5.41%"
"12/18/2024","2.256","2.261","2.261","2.256","-0.22%"
"12/17/2024","2.261","2.246","2.261","2.246","0.67%"
"12/16/2024","2.246","2.245","2.246","2.245","0.04%"
"12/13/2024","2.245","2.249","2.249","2.245","-0.22%"
"12/12/2024","2.250","2.189","2.250","2.189","2.79%"
"12/11/2024","2.189","2.151","2.189","2.151","1.77%"
"12/10/2024","2.151","2.151","2.151","2.151","-0.05%"
"12/09/2024","2.152","2.135","2.152","2.135","0.75%"
"12/06/2024","2.136","2.124","2.136","2.124","0.47%"
"12/05/2024","2.126","2.133","2.133","2.126","-0.37%"
"12/04/2024","2.134","2.113","2.134","2.113","0.99%"
"12/03/2024","2.113","2.086","2.113","2.086","1.29%"
"12/02/2024","2.086","2.086","2.086","2.086","0.68%"
"11/29/2024","2.072","2.072","2.072","2.072","-0.05%"
"11/28/2024","2.073","2.073","2.073","2.073","-0.05%"
"11/27/2024","2.074","2.074","2.074","2.074","0.00%"
"11/26/2024","2.074","2.070","2.074","2.070","0.14%"
"11/25/2024","2.071","2.071","2.071","2.071","0.00%"
"11/22/2024","2.071","2.058","2.071","2.058","0.53%"
"11/21/2024","2.060","2.056","2.060","2.056","0.19%"
"11/20/2024","2.056","2.056","2.056","2.056","0.00%"
"11/19/2024","2.056","2.060","2.060","2.056","-0.19%"
"11/18/2024","2.060","2.060","2.060","2.060","0.00%"
"11/15/2024","2.060","2.060","2.060","2.060","-0.05%"
"11/14/2024","2.061","2.052","2.061","2.052","0.44%"
"11/13/2024","2.052","2.042","2.052","2.042","0.44%"
"11/12/2024","2.043","2.047","2.047","2.043","-0.24%"
"11/11/2024","2.048","2.045","2.048","2.045","0.15%"
"11/08/2024","2.045","2.043","2.045","2.043","0.00%"
"11/07/2024","2.045","2.025","2.045","2.025","0.99%"
"11/06/2024","2.025","2.030","2.030","2.025","-0.25%"
"11/05/2024","2.030","2.032","2.032","2.030","-0.15%"
"11/04/2024","2.033","2.018","2.033","2.018","0.74%"
"11/01/2024","2.018","2.018","2.018","2.018","-0.59%"
"10/31/2024","2.030","2.030","2.030","2.030","0.35%"
"10/30/2024","2.023","2.022","2.023","2.022","0.00%"
"10/29/2024","2.023","2.021","2.023","2.021","0.10%"
"10/28/2024","2.021","2.021","2.021","2.021","-0.35%"
"10/25/2024","2.028","2.028","2.028","2.028","0.30%"
"10/24/2024","2.022","2.022","2.022","2.022","0.30%"
"10/23/2024","2.016","2.016","2.016","2.016","-0.05%"
"10/22/2024","2.017","2.006","2.017","2.006","0.50%"
"10/21/2024","2.007","2.007","2.007","2.007","0.00%"
"10/18/2024","2.007","2.007","2.007","2.007","0.15%"
"10/17/2024","2.004","2.004","2.004","2.004","0.75%"
"10/16/2024","1.989","1.989","1.989","1.989","-0.85%"
"10/15/2024","2.006","2.017","2.017","2.006","-0.55%"
"10/14/2024","2.017","2.017","2.017","2.017","1.05%"
"10/11/2024","1.996","1.996","1.996","1.996","0.25%"
"10/10/2024","1.991","1.991","1.991","1.991","-0.50%"
"10/09/2024","2.001","2.001","2.001","2.001","-0.60%"
"10/08/2024","2.013","2.027","2.027","2.013","-0.69%"
"10/07/2024","2.027","2.027","2.027","2.027","-0.30%"
"10/04/2024","2.033","2.033","2.033","2.033","0.79%"
"10/03/2024","2.017","2.038","2.038","2.017","-1.03%"
"10/02/2024","2.038","2.038","2.038","2.038","0.10%"
"10/01/2024","2.036","2.047","2.047","2.036","0.44%"
"09/30/2024","2.027","2.027","2.027","2.027","0.35%"
"09/27/2024","2.020","2.020","2.020","2.020","0.35%"
"09/26/2024","2.013","2.013","2.013","2.013","-0.45%"
"09/25/2024","2.022","2.022","2.022","2.022","-0.15%"
"09/24/2024","2.025","2.058","2.058","2.025","-1.60%"
"09/23/2024","2.058","2.058","2.058","2.058","-0.10%"
"09/20/2024","2.060","2.062","2.062","2.060","-0.15%"
"09/19/2024","2.063","2.063","2.063","2.063","-0.72%"
"09/18/2024","2.078","2.078","2.078","2.078","0.05%"
"09/17/2024","2.077","2.079","2.079","2.077","-0.10%"
"09/16/2024","2.079","2.079","2.079","2.079","-0.43%"
"09/13/2024","2.088","2.081","2.088","2.081","0.29%"
"09/12/2024","2.082","2.082","2.082","2.082","-0.05%"
"09/11/2024","2.083","2.078","2.083","2.078","0.24%"
"09/10/2024","2.078","2.078","2.078","2.078","0.34%"
"09/09/2024","2.071","2.071","2.071","2.071","-0.62%"
"09/06/2024","2.084","2.084","2.084","2.084","-0.38%"
"09/05/2024","2.092","2.105","2.105","2.092","-0.66%"
"09/04/2024","2.106","2.106","2.106","2.106","0.33%"
"08/30/2024","2.099","2.099","2.099","2.099","-0.10%"
"08/29/2024","2.101","2.101","2.101","2.101","0.00%"
"08/28/2024","2.101","2.088","2.101","2.088","0.62%"
"08/27/2024","2.088","2.098","2.098","2.088","-0.48%"
"08/26/2024","2.098","2.098","2.098","2.098","-0.19%"
"08/23/2024","2.102","2.102","2.102","2.102","-0.05%"
"08/22/2024","2.103","2.103","2.103","2.103","0.19%"
"08/21/2024","2.099","2.099","2.099","2.099","-0.05%"
"08/20/2024","2.100","2.100","2.100","2.100","0.00%"
"08/19/2024","2.100","2.100","2.100","2.100","-0.24%"
"08/16/2024","2.105","2.105","2.105","2.105","-0.05%"
"08/15/2024","2.106","2.106","2.106","2.106","0.29%"
"08/14/2024","2.100","2.100","2.100","2.100","-0.76%"
"08/13/2024","2.116","2.110","2.116","2.110","0.28%"
"08/12/2024","2.110","2.110","2.110","2.110","-0.85%"
"08/09/2024","2.128","2.128","2.128","2.128","0.42%"
"08/08/2024","2.119","2.119","2.119","2.119","0.00%"
