"Date","Price","Open","High","Low","Vol.","Change %"
"03/06/2025","0.39160001","0.39285001","0.39315000","0.39184999","","-0.05%"
"03/05/2025","0.39179999","0.39184999","0.39219999","0.39080000","","0.23%"
"03/04/2025","0.39089999","0.39089999","0.39125001","0.39060000","","0.15%"
"03/03/2025","0.39030001","0.39125001","0.39135000","0.39030001","","-0.15%"
"02/28/2025","0.39089999","0.39125001","0.39144999","0.39100000","","-0.10%"
"02/27/2025","0.39129999","0.39135000","0.39225000","0.39109999","","0.00%"
"02/26/2025","0.39129999","0.39234999","0.39234999","0.39100000","","0.00%"
"02/25/2025","0.39129999","0.39254999","0.39260000","0.39150000","","-0.31%"
"02/24/2025","0.39250001","0.39234999","0.39254999","0.39155000","","0.26%"
"02/21/2025","0.39150000","0.39240000","0.39250001","0.39140001","","0.00%"
"02/20/2025","0.39150000","0.39175001","0.39184999","0.39094999","","-0.05%"
"02/19/2025","0.39170000","0.39164999","0.39215001","0.39094999","","0.05%"
"02/18/2025","0.39150000","0.39195001","0.39324999","0.39085001","","-0.18%"
"02/17/2025","0.39219999","0.39379999","0.39379999","0.39240000","","-0.33%"
"02/14/2025","0.39350000","0.39344999","0.39390001","0.39274999","","0.31%"
"02/13/2025","0.39230001","0.39155000","0.39365000","0.39155000","","0.36%"
"02/12/2025","0.39089999","0.39225000","0.39225000","0.39045000","","-0.10%"
"02/11/2025","0.39129999","0.39335001","0.39335001","0.39144999","","-0.61%"
"02/10/2025","0.39370000","0.39405000","0.39414999","0.39355001","","-0.25%"
"02/07/2025","0.39469999","0.39455000","0.39550000","0.39449999","","-0.20%"
"02/06/2025","0.39550000","0.39735001","0.39760000","0.39559999","","-0.33%"
"02/05/2025","0.39680001","0.39684999","0.39815000","0.39684999","","0.00%"
"02/04/2025","0.39680001","0.39550000","0.39739999","0.39550000","","0.48%"
"02/03/2025","0.39489999","0.39954999","0.39954999","0.39434999","","-0.88%"
"01/31/2025","0.39840001","0.39840001","0.39840001","0.39840001","","0.00%"
"01/30/2025","0.39840001","0.39840001","0.39840001","0.39840001","","0.00%"
"01/29/2025","0.39840001","0.39840001","0.39840001","0.39840001","","0.00%"
"01/28/2025","0.39840001","0.39840001","0.39840001","0.39840001","","0.00%"
"01/27/2025","0.39840001","0.39840001","0.39840001","0.39840001","","0.00%"
"01/24/2025","0.39840001","0.39789999","0.39954999","0.39765000","","0.33%"
"01/23/2025","0.39710000","0.39915001","0.39985001","0.39745000","","-0.20%"
"01/22/2025","0.39789999","0.39590001","0.39879999","0.39565000","","0.61%"
"01/21/2025","0.39550000","0.39524999","0.39605001","0.39500001","","0.20%"
"01/20/2025","0.39469999","0.39475000","0.39555001","0.39394999","","0.03%"
"01/17/2025","0.39460000","0.39434999","0.39495000","0.39390001","","0.18%"
"01/16/2025","0.39390001","0.39385000","0.39410001","0.39379999","","0.05%"
"01/15/2025","0.39370000","0.39390001","0.39390001","0.39375001","","0.00%"
"01/14/2025","0.39370000","0.39375001","0.39405000","0.39365000","","0.05%"
"01/13/2025","0.39350000","0.39405000","0.39410001","0.39315000","","-0.13%"
"01/10/2025","0.39399999","0.39394999","0.39414999","0.39390001","","0.05%"
"01/09/2025","0.39379999","0.39390001","0.39405000","0.39379999","","0.03%"
"01/08/2025","0.39370000","0.39385000","0.39399999","0.39375001","","-0.08%"
"01/07/2025","0.39399999","0.39379999","0.39420000","0.39330000","","0.05%"
"01/06/2025","0.39379999","0.39385000","0.39405000","0.39280000","","0.23%"
"01/03/2025","0.39289999","0.39274999","0.39335001","0.39269999","","0.08%"
"01/02/2025","0.39260000","0.39274999","0.39295000","0.39234999","","0.08%"
"01/01/2025","0.39230001","0.39230001","0.39230001","0.39230001","","0.00%"
"12/31/2024","0.39230001","0.39219999","0.39295000","0.39190000","","0.03%"
"12/30/2024","0.39219999","0.39295000","0.39295000","0.39234999","","-0.10%"
"12/27/2024","0.39260000","0.39295000","0.39324999","0.39274999","","-0.10%"
"12/26/2024","0.39300001","0.39335001","0.39335001","0.39285001","","0.00%"
"12/25/2024","0.39300001","0.39309999","0.39340001","0.39280000","","0.05%"
"12/24/2024","0.39280000","0.39285001","0.39315000","0.39265001","","0.03%"
"12/23/2024","0.39269999","0.39304999","0.39324999","0.39265001","","0.03%"
"12/20/2024","0.39260000","0.39265001","0.39289999","0.39260000","","0.03%"
"12/19/2024","0.39250001","0.39265001","0.39289999","0.39260000","","-0.03%"
"12/18/2024","0.39260000","0.39295000","0.39375001","0.39274999","","-0.08%"
"12/17/2024","0.39289999","0.39379999","0.39445001","0.39304999","","-0.18%"
"12/16/2024","0.39359999","0.39385000","0.39445001","0.39359999","","0.03%"
"12/13/2024","0.39350000","0.39359999","0.39390001","0.39350000","","-0.05%"
"12/12/2024","0.39370000","0.39414999","0.39425001","0.39370000","","0.00%"
"12/11/2024","0.39370000","0.39425001","0.39445001","0.39385000","","-0.10%"
"12/10/2024","0.39410001","0.39394999","0.39420000","0.39390001","","0.08%"
"12/09/2024","0.39379999","0.39405000","0.39420000","0.39375001","","0.03%"
"12/06/2024","0.39370000","0.39375001","0.39420000","0.39375001","","0.00%"
"12/05/2024","0.39370000","0.39350000","0.39445001","0.39344999","","0.10%"
"12/04/2024","0.39330000","0.39355001","0.39420000","0.39344999","","-0.03%"
"12/03/2024","0.39340001","0.39365000","0.39445001","0.39350000","","-0.15%"
"12/02/2024","0.39399999","0.39414999","0.39460000","0.39379999","","-0.10%"
"11/29/2024","0.39440000","0.39460000","0.39460000","0.39359999","","0.15%"
"11/28/2024","0.39379999","0.39434999","0.39480001","0.39355001","","0.03%"
"11/27/2024","0.39370000","0.39355001","0.39385000","0.39340001","","0.10%"
"11/26/2024","0.39330000","0.39324999","0.39359999","0.39324999","","0.03%"
"11/25/2024","0.39320001","0.39340001","0.39385000","0.39324999","","-0.03%"
"11/22/2024","0.39330000","0.39330000","0.39340001","0.39315000","","0.03%"
"11/21/2024","0.39320001","0.39324999","0.39359999","0.39315000","","0.03%"
"11/20/2024","0.39309999","0.39365000","0.39375001","0.39324999","","-0.08%"
"11/19/2024","0.39340001","0.39375001","0.39405000","0.39340001","","0.03%"
"11/18/2024","0.39330000","0.39385000","0.39455000","0.39340001","","-0.10%"
"11/15/2024","0.39370000","0.39390001","0.39405000","0.39370000","","0.05%"
"11/14/2024","0.39350000","0.39405000","0.39465001","0.39355001","","-0.20%"
"11/13/2024","0.39430001","0.39445001","0.39530000","0.39420000","","0.00%"
"11/12/2024","0.39430001","0.39434999","0.39515001","0.39430001","","-0.03%"
"11/11/2024","0.39440000","0.39545000","0.39590001","0.39469999","","-0.25%"
"11/08/2024","0.39539999","0.39515001","0.39559999","0.39500001","","0.36%"
"11/07/2024","0.39399999","0.39344999","0.39420000","0.39335001","","0.08%"
"11/06/2024","0.39370000","0.39394999","0.39434999","0.39340001","","-0.15%"
"11/05/2024","0.39430001","0.39489999","0.39535001","0.39420000","","-0.10%"
"11/04/2024","0.39469999","0.39550000","0.39570001","0.39465001","","-0.05%"
"11/01/2024","0.39489999","0.39555001","0.39585000","0.39449999","","-0.13%"
"10/31/2024","0.39539999","0.39475000","0.39559999","0.39440000","","0.08%"
"10/30/2024","0.39510000","0.39449999","0.39535001","0.39359999","","0.08%"
"10/29/2024","0.39480001","0.39434999","0.39555001","0.39434999","","0.15%"
"10/28/2024","0.39420000","0.39365000","0.39445001","0.39309999","","0.08%"
"10/25/2024","0.39390001","0.39350000","0.39410001","0.39320001","","0.13%"
"10/24/2024","0.39340001","0.39375001","0.39390001","0.39280000","","0.03%"
"10/23/2024","0.39330000","0.39344999","0.39405000","0.39315000","","0.00%"
"10/22/2024","0.39330000","0.39379999","0.39425001","0.39355001","","-0.38%"
"10/21/2024","0.39480001","0.39735001","0.39735001","0.39510000","","-0.58%"
"10/18/2024","0.39710000","0.39635000","0.39735001","0.39559999","","0.13%"
"10/17/2024","0.39660001","0.39950001","0.39950001","0.39669999","","-0.80%"
"10/16/2024","0.39980000","0.40035000","0.40165001","0.39980000","","-0.22%"
