gold,us_2_year_bond,us_3_month_bond,us_5_year_bond,us_10_year_bond,date
3240.3,3.9679997,4.285,4.121,4.499,2025-05-31
3181.4,4.001,4.285,4.162,4.528,2025-06-01
3220.7002,3.9339998,4.258,4.073,4.455,2025-06-02
3182.0002,3.978,4.237,4.064,4.441,2025-06-03
3182.0002,3.978,4.237,4.064,4.441,2025-06-04
3182.0002,3.978,4.237,4.064,4.441,2025-06-05
3228.9001,3.978,4.24,4.081,4.475,2025-06-06
3280.3,3.964,4.248,4.067,4.481,2025-06-07
3309.3,3.98,4.235,4.157,4.596,2025-06-08
3292.3003,3.98,4.232,4.113,4.553,2025-06-09
3363.5999,3.9409997,4.23,4.078,4.509,2025-06-10
3363.5999,3.9409997,4.23,4.078,4.509,2025-06-11
3363.5999,3.9409997,4.23,4.078,4.509,2025-06-12
3363.5999,3.9409997,4.23,4.078,4.509,2025-06-13
3299.1,3.9749997,4.203,4.023,4.434,2025-06-14
3293.6003,3.98,4.225,4.065,4.477,2025-06-15
3317.1,3.9339998,4.23,3.998,4.424,2025-06-16
