gold,us_2_year_bond,us_3_month_bond,us_5_year_bond,us_10_year_bond,date
3229.9587,3.9725614,4.2368574,4.0726166,4.4706087,2025-06-06
3280.6982,3.9575045,4.2417917,4.0559516,4.4773097,2025-06-07
3309.6487,3.9939866,4.243393,4.1670837,4.6063223,2025-06-08
3292.0916,3.9670453,4.2195253,4.100365,4.5458407,2025-06-09
3362.9932,3.9481974,4.233081,4.0787625,4.5105534,2025-06-10
3363.5054,3.9399922,4.2324142,4.0865955,4.5119824,2025-06-11
3362.8533,3.935365,4.2285037,4.0682344,4.501118,2025-06-12
3364.2893,3.9434342,4.2392745,4.086863,4.5109158,2025-06-13
3299.2402,3.964932,4.2030115,4.012299,4.421366,2025-06-14
3294.7676,3.978765,4.2296276,4.0701756,4.478431,2025-06-15
3317.2898,3.9292068,4.2282715,3.9996173,4.4240446,2025-06-16
3289.8064,3.9103885,4.23666,3.9849365,4.421837,2025-06-17
3313.0193,3.8430793,4.230516,3.9743812,4.4133058,2025-06-18
3312.8113,3.8455951,4.2321825,3.973768,4.4131913,2025-06-19
3370.4358,3.8696437,4.229498,4.01221,4.4576206,2025-06-20
3383.5596,3.9003453,4.2348723,4.028281,4.4598703,2025-06-21
3394.1152,3.9059398,4.244474,3.9349802,4.3657556,2025-06-22
