gold,russell2000,dow_jones,msci_world,nasdaq100,s_p500,date
1287.50000,1575.44006,25819.65039,2090.39990,7150.83008,2792.80005,2019-03-03
1284.69995,1568.28003,25806.63281,2087.50000,7156.79004,2789.69995,2019-03-04
1287.59998,1536.81995,25673.46094,2078.69995,7112.47021,2771.39990,2019-03-05
1286.09998,1523.63000,25473.23242,2061.39990,7026.87988,2748.89990,2019-03-06
1299.30005,1521.88000,25450.24023,2051.10010,7015.68994,2743.10034,2019-03-07
1299.30005,1521.88000,25450.24023,2051.10010,7015.68994,2743.10034,2019-03-08
1299.30005,1521.88000,25450.24023,2051.10010,7015.68994,2743.10034,2019-03-09
1291.09998,1548.88000,25650.88086,2074.69995,7164.02002,2783.30005,2019-03-10
1298.09998,1549.82996,25554.65820,2083.39990,7201.27979,2791.50000,2019-03-11
1309.30005,1555.88000,25702.89062,2095.69995,7256.97998,2810.89966,2019-03-12
1295.09998,1549.64001,25709.93750,2096.30005,7243.00977,2808.50024,2019-03-13
1302.90002,1553.54004,25848.86914,2108.80005,7306.99072,2822.50000,2019-03-14
1302.90002,1553.54004,25848.86914,2108.80005,7306.99072,2822.50000,2019-03-15
1302.90002,1553.54004,25848.86914,2108.80005,7306.99072,2822.50000,2019-03-16
1301.50000,1563.93005,25914.09961,2118.00000,7326.27979,2832.89990,2019-03-17
1306.50000,1554.98987,25887.38281,2121.50000,7349.27979,2832.60010,2019-03-18
1301.69995,1543.16003,25745.66992,2112.10010,7380.74951,2824.19995,2019-03-19
1307.30005,1562.41003,25962.50977,2127.89990,7493.27051,2854.89990,2019-03-20
1312.30005,1505.92004,25502.32031,2094.80005,7326.05957,2800.69995,2019-03-21
1312.30005,1505.92004,25502.32031,2094.80005,7326.05957,2800.69995,2019-03-22
1312.30005,1505.92004,25502.32031,2094.80005,7326.05957,2800.69995,2019-03-23
1322.59998,1512.85999,25516.83008,2087.10010,7316.95996,2798.40015,2019-03-24
1315.00000,1528.17004,25657.73242,2102.60010,7351.14990,2818.50000,2019-03-25
1310.40002,1522.22998,25625.58984,2094.00000,7308.18945,2805.39990,2019-03-26
