gold,us_2_year_bond,us_3_month_bond,us_5_year_bond,us_10_year_bond,date
1295.09998,2.46300,2.45200,2.43000,2.63000,2019-03-03
1302.90002,2.44200,2.45200,2.39700,2.59100,2019-03-04
1302.90002,2.44200,2.45200,2.39700,2.59100,2019-03-05
1302.90002,2.44200,2.45200,2.39700,2.59100,2019-03-06
1301.50000,2.45400,2.44600,2.41500,2.60500,2019-03-07
1306.50000,2.47500,2.47000,2.42900,2.61800,2019-03-08
1301.69995,2.39800,2.47300,2.32600,2.52400,2019-03-09
1307.30005,2.41000,2.47300,2.34100,2.53900,2019-03-10
1312.30005,2.31900,2.46200,2.24000,2.43700,2019-03-11
1312.30005,2.31900,2.46200,2.24000,2.43700,2019-03-12
1312.30005,2.31900,2.46200,2.24000,2.43700,2019-03-13
1322.59998,2.25000,2.45400,2.18700,2.40500,2019-03-14
1315.00000,2.27000,2.47000,2.20800,2.42500,2019-03-15
1310.40002,2.21000,2.44200,2.17000,2.38100,2019-03-16
1292.50000,2.23200,2.43700,2.21000,2.39100,2019-03-17
1295.59998,2.26600,2.40000,2.23600,2.40700,2019-03-18
1295.59998,2.26600,2.40000,2.23600,2.40700,2019-03-19
1295.59998,2.26600,2.40000,2.23600,2.40700,2019-03-20
1291.19995,2.33700,2.39200,2.32500,2.50300,2019-03-21
1292.50000,2.30200,2.43400,2.28300,2.47200,2019-03-22
1292.30005,2.34100,2.43700,2.33000,2.52800,2019-03-23
1291.40002,2.33900,2.43400,2.31900,2.51300,2019-03-24
1292.59998,2.34300,2.43400,2.30900,2.49900,2019-03-25
1292.59998,2.34300,2.43400,2.30900,2.49900,2019-03-26
1292.59998,2.34300,2.43400,2.30900,2.49900,2019-03-27
1298.80005,2.36000,2.42900,2.32600,2.52000,2019-03-28
1305.09998,2.35000,2.42900,2.30700,2.50200,2019-03-29
1310.30005,2.32100,2.42700,2.27000,2.46500,2019-03-30
1290.50000,2.35800,2.42900,2.31400,2.49900,2019-03-31
1292.19995,2.39300,2.44100,2.37700,2.56200,2019-04-01
1292.19995,2.39300,2.44100,2.37700,2.56200,2019-04-02
1292.19995,2.39300,2.44100,2.37700,2.56200,2019-04-03
1288.50000,2.39400,2.42300,2.37200,2.55600,2019-04-04
1274.19995,2.41400,2.44200,2.40600,2.59200,2019-04-05
1273.80005,2.40400,2.43900,2.40400,2.59400,2019-04-06
1273.09998,2.38000,2.42900,2.36900,2.56000,2019-04-07
1273.09998,2.38000,2.42900,2.36900,2.56000,2019-04-08
1273.09998,2.38000,2.42900,2.36900,2.56000,2019-04-09
