gold,russell2000,dow_jones,msci_world,nasdaq100,s_p500,date
1287.4,1572.99,25942.37,2126.3,7586.53,2881.3997,2019-05-03
1287.4,1572.99,25942.37,2126.3,7586.53,2881.3997,2019-05-04
1301.8,1523.0,25324.988,2086.5,7324.13,2811.9,2019-05-05
1296.3,1543.06,25532.05,2098.8,7401.88,2834.4001,2019-05-06
1297.8,1548.2699,25648.02,2110.4,7503.25,2851.0,2019-05-07
1286.2,1557.24,25862.68,2126.1,7580.14,2876.3,2019-05-08
1275.7,1535.7599,25764.002,2116.5,7503.68,2859.5,2019-05-09
1275.7,1535.7599,25764.002,2116.5,7503.68,2859.5,2019-05-10
1275.7,1535.7599,25764.002,2116.5,7503.68,2859.5,2019-05-11
1277.3,1524.96,25679.9,2104.6,7376.7,2840.2,2019-05-12
1273.2,1545.2501,25877.33,2117.7,7451.02,2864.4,2019-05-13
1274.2,1531.63,25776.61,2111.8,7420.66,2856.3,2019-05-14
1285.4,1501.38,25490.469,2087.5,7307.93,2822.2002,2019-05-15
1283.6,1514.11,25585.688,2095.0,7300.96,2826.1003,2019-05-16
1283.6,1514.11,25585.688,2095.0,7300.96,2826.1003,2019-05-17
1283.6,1514.11,25585.688,2095.0,7300.96,2826.1003,2019-05-18
1277.1,1514.11,25585.688,2095.0,7300.96,2826.1003,2019-05-19
1277.1,1504.02,25347.77,2084.6,7278.38,2802.4,2019-05-20
1281.0,1489.95,25126.41,2064.8,7216.86,2783.0,2019-05-21
1289.9,1485.53,25169.879,2066.5,7245.4,2788.9,2019-05-22
1308.0,1465.49,24815.04,2046.3002,7127.96,2752.1,2019-05-23
1308.0,1465.49,24815.04,2046.3002,7127.96,2752.1,2019-05-24
1308.0,1465.49,24815.04,2046.3002,7127.96,2752.1,2019-05-25
1324.9,1469.98,24819.78,2045.0999,6978.02,2744.4,2019-05-26
1325.7,1508.56,25332.18,2077.7,7166.75,2803.3,2019-05-27
1330.6,1506.7902,25539.57,2095.8,7220.9,2826.2002,2019-05-28
1339.8,1499.2899,25720.66,2104.2,7275.93,2843.5002,2019-05-29
1343.3,1514.39,25983.94,2126.9,7417.29,2873.3,2019-05-30
1343.3,1514.39,25983.94,2126.9,7417.29,2873.3,2019-05-31
1343.3,1514.39,25983.94,2126.9,7417.29,2873.3,2019-06-01
1326.3,1523.56,26062.68,2135.5,7501.93,2886.7,2019-06-02
1328.3,1519.11,26048.51,2139.7,7513.85,2885.7,2019-06-03
1333.9,1519.7902,26004.83,2134.4,7472.2896,2879.8,2019-06-04
1340.8,1535.8,26106.77,2137.0,7510.6797,2891.6,2019-06-05
1341.7,1522.5,26089.611,2131.0,7479.11,2887.0,2019-06-06
1341.7,1522.5,26089.611,2131.0,7479.11,2887.0,2019-06-07
1341.7,1522.5,26089.611,2131.0,7479.11,2887.0,2019-06-08
1340.0,1532.75,26112.53,2130.9,7526.5195,2889.7,2019-06-09
1347.8,1550.23,26465.537,2150.9,7635.4,2917.8,2019-06-10
1345.8,1555.5801,26504.0,2161.6,7667.7407,2926.5,2019-06-11
1394.1,1563.49,26753.172,2183.0,7738.05,2954.2,2019-06-12
1397.3,1549.6301,26719.13,2178.2,7728.7793,2950.5002,2019-06-13
1397.3,1549.6301,26719.13,2178.2,7728.7793,2950.5002,2019-06-14
1397.3,1549.6301,26719.13,2178.2,7728.7793,2950.5002,2019-06-15
1415.2,1530.08,26727.54,2178.2,7723.02,2945.3,2019-06-16
1415.8,1521.04,26548.22,2163.7,7591.5405,2917.4,2019-06-17
1411.5,1521.89,26536.818,2158.4,7627.0493,2913.8003,2019-06-18
1412.0,1546.55,26526.58,2166.5,7657.05,2924.9,2019-06-19
1413.7,1566.57,26599.96,2178.4,7671.0806,2941.8,2019-06-20
1413.7,1566.57,26599.96,2178.4,7671.0806,2941.8,2019-06-21
1413.7,1566.57,26599.96,2178.4,7671.0806,2941.8,2019-06-22
1389.3,1566.57,26717.43,2192.2,7768.14,2964.3,2019-06-23
1408.0,1560.54,26786.68,2198.6,7799.82,2972.9998,2019-06-24
1420.9,1572.12,26966.0,2213.4,7857.6904,2995.8,2019-06-25
1400.1,1572.12,26966.0,2213.4,7857.6904,2995.8,2019-06-26
1400.1,1575.6199,26922.12,2205.6,7841.2993,2990.3997,2019-06-27
1400.1,1575.6199,26922.12,2205.6,7841.2993,2990.3997,2019-06-28
1400.1,1575.6199,26922.12,2205.6,7841.2993,2990.3997,2019-06-29
1400.0,1561.39,26806.14,2194.6,7785.7905,2975.9,2019-06-30
1400.5,1562.59,26783.49,2193.7,7826.8604,2979.6,2019-07-01
1412.5,1565.05,26860.2,2201.1,7903.4004,2993.1,2019-07-02
1406.7,1557.92,27088.08,2205.4,7896.7803,2999.9,2019-07-03
1412.2,1570.0,27332.03,2212.7,7943.2407,3013.8,2019-07-04
1412.2,1570.0,27332.03,2212.7,7943.2407,3013.8,2019-07-05
1412.2,1570.0,27332.03,2212.7,7943.2407,3013.8,2019-07-06
1413.5,1561.82,27359.16,2214.3,7966.9297,3014.3,2019-07-07
1411.2,1562.0,27335.63,2208.1,7927.0796,3004.0,2019-07-08
1423.3,1550.78,27219.85,2197.9,7888.76,2984.4,2019-07-09
1428.1,1555.6199,27222.97,2198.4,7904.1304,2995.1,2019-07-10
1426.7,1547.9,27154.2,2194.6,7834.8994,2976.6,2019-07-11
1426.7,1547.9,27154.2,2194.6,7834.8994,2976.6,2019-07-12
1426.7,1547.9,27154.2,2194.6,7834.8994,2976.6,2019-07-13
1426.9,1544.78,27171.898,2197.7,7905.12,2985.0,2019-07-14
1421.7,1554.96,27349.19,2209.6,7954.56,3005.5002,2019-07-15
1423.6,1580.4202,27269.973,2217.8,8010.6094,3019.6,2019-07-16
1414.7,1561.4501,27140.979,2206.9,7929.87,3003.7,2019-07-17
1419.3,1578.9701,27192.45,2215.7,8016.95,3025.9001,2019-07-18
1419.3,1578.9701,27192.45,2215.7,8016.95,3025.9001,2019-07-19
1419.3,1578.9701,27192.45,2215.7,8016.95,3025.9001,2019-07-20
1420.4,1569.03,27221.348,2212.5,7989.08,3021.0,2019-07-21
1433.4,1585.5999,27198.02,2203.4,7952.47,3013.2,2019-07-22
1429.1,1574.61,26864.271,2187.6,7848.78,2980.4,2019-07-23
1424.2,1550.76,26583.42,2173.2,7801.1494,2953.6,2019-07-24
1448.7,1533.66,26485.01,2150.0,7692.7993,2932.1003,2019-07-25
1448.7,1533.66,26485.01,2150.0,7692.7993,2932.1003,2019-07-26
1448.7,1533.66,26485.01,2150.0,7692.7993,2932.1003,2019-07-27
1467.7,1487.41,25717.74,2097.3,7415.69,2844.6997,2019-07-28
1475.2,1502.09,26029.52,2109.2,7521.32,2881.8,2019-07-29
1509.6,1500.69,26007.07,2114.1,7551.8994,2884.0,2019-07-30
1499.7,1532.13,26378.19,2146.9,7724.8306,2938.1,2019-07-31
1498.6,1513.04,26287.44,2135.3,7646.27,2918.7,2019-08-01
1498.6,1513.04,26287.44,2135.3,7646.27,2918.7,2019-08-02
1498.6,1513.04,26287.44,2135.3,7646.27,2918.7,2019-08-03
1507.7,1495.8999,25896.44,2117.7,7561.68,2883.8,2019-08-04
1504.3,1510.58,26279.912,2134.5,7728.15,2926.3,2019-08-05
1518.5,1467.52,25479.42,2086.3,7490.13,2840.6,2019-08-06
1521.7,1461.65,25579.39,2082.8,7484.89,2847.5999,2019-08-07
1514.1,1493.64,25886.008,2108.5,7604.11,2888.7,2019-08-08
1514.1,1493.64,25886.008,2108.5,7604.11,2888.7,2019-08-09
1514.1,1493.64,25886.008,2108.5,7604.11,2888.7,2019-08-10
1502.1,1508.8499,26135.79,2131.8,7719.3203,2923.7,2019-08-11
1506.3,1498.01,25962.438,2119.6,7664.47,2900.5,2019-08-12
1506.1,1509.8501,26202.73,2135.5,7733.22,2924.4,2019-08-13
1498.7,1506.0,26252.24,2131.7,7707.43,2922.9,2019-08-14
1527.9,1459.49,25628.9,2094.6,7464.99,2847.1,2019-08-15
1527.9,1459.49,25628.9,2094.6,7464.99,2847.1,2019-08-16
1527.9,1459.49,25628.9,2094.6,7464.99,2847.1,2019-08-17
