gold,oil,us_dollar,usd_vnd,cpi,inflation_rate,interest_rate,date
1321.19995,57.37000,96.03800,23199.00000,253.31900,0.30000,2.40000,2019-03-03
1316.09998,57.61000,96.04300,23199.00000,253.31900,0.30000,2.40000,2019-03-04
1299.19995,56.19000,96.45000,23202.00000,254.27699,0.40000,2.41000,2019-03-05
1299.19995,56.19000,96.45000,23202.00000,254.27699,0.40000,2.41000,2019-03-06
1299.19995,56.19000,96.45000,23202.00000,254.27699,0.40000,2.41000,2019-03-07
1287.50000,56.97000,96.61000,23200.00000,254.27699,0.40000,2.41000,2019-03-08
1284.69995,56.94000,96.79500,23198.00000,254.27699,0.40000,2.41000,2019-03-09
1287.59998,56.62000,96.79900,23200.00000,254.27699,0.40000,2.41000,2019-03-10
1286.09998,57.03000,97.62800,23197.00000,254.27699,0.40000,2.41000,2019-03-11
1299.30005,56.43000,97.26900,23199.00000,254.27699,0.40000,2.41000,2019-03-12
1299.30005,56.43000,97.26900,23199.00000,254.27699,0.40000,2.41000,2019-03-13
1299.30005,56.43000,97.26900,23199.00000,254.27699,0.40000,2.41000,2019-03-14
1291.09998,57.12000,97.17400,23198.00000,254.27699,0.40000,2.41000,2019-03-15
1298.09998,57.20000,96.89900,23198.00000,254.27699,0.40000,2.41000,2019-03-16
1309.30005,58.59000,96.51200,23199.00000,254.27699,0.40000,2.41000,2019-03-17
1295.09998,58.91000,96.76900,23198.00000,254.27699,0.40000,2.41000,2019-03-18
1302.90002,58.82000,96.59000,23198.00000,254.27699,0.40000,2.41000,2019-03-19
1302.90002,58.82000,96.59000,23198.00000,254.27699,0.40000,2.41000,2019-03-20
1302.90002,58.82000,96.59000,23198.00000,254.27699,0.40000,2.41000,2019-03-21
1301.50000,59.38000,96.51600,23202.00000,254.27699,0.40000,2.41000,2019-03-22
1306.50000,59.29000,95.83100,23208.00000,254.27699,0.40000,2.41000,2019-03-23
1301.69995,60.23000,95.20100,23209.00000,254.27699,0.40000,2.41000,2019-03-24
1307.30005,60.20000,95.98700,23200.00000,254.27699,0.40000,2.41000,2019-03-25
1312.30005,59.29000,96.15100,23199.00000,254.27699,0.40000,2.41000,2019-03-26
1312.30005,59.29000,96.15100,23199.00000,254.27699,0.40000,2.41000,2019-03-27
1312.30005,59.29000,96.15100,23199.00000,254.27699,0.40000,2.41000,2019-03-28
1322.59998,59.08000,96.06800,23199.00000,254.27699,0.40000,2.41000,2019-03-29
1315.00000,60.10000,96.22500,23198.00000,254.27699,0.40000,2.41000,2019-03-30
1310.40002,59.61000,96.28300,23198.00000,254.27699,0.40000,2.41000,2019-03-31
1292.50000,59.48000,96.76400,23200.00000,254.27699,0.40000,2.41000,2019-04-01
1295.59998,60.28000,96.84500,23203.00000,254.27699,0.40000,2.41000,2019-04-02
1295.59998,60.28000,96.84500,23203.00000,254.27699,0.40000,2.41000,2019-04-03
1295.59998,60.28000,96.84500,23203.00000,254.27699,0.40000,2.41000,2019-04-04
1291.19995,61.71000,96.79900,23199.00000,255.23300,0.40000,2.42000,2019-04-05
1292.50000,62.61000,96.92300,23197.00000,255.23300,0.40000,2.42000,2019-04-06
1292.30005,62.52000,96.66200,23199.00000,255.23300,0.40000,2.42000,2019-04-07
1291.40002,62.19000,96.92500,23198.00000,255.23300,0.40000,2.42000,2019-04-08
1292.59998,63.15000,97.00200,23199.00000,255.23300,0.40000,2.42000,2019-04-09
