Date,Price,Open,High,Low
01-03-1995,380.9,382.4,383.4,380.7
01-04-1995,375.3,379.2,379.9,375.2
01-05-1995,376.6,376,376.7,374.7
01-06-1995,372.2,376.5,377.1,372
01-07-1995,372.2,376.5,377.1,372
01-08-1995,372.2,376.5,377.1,372
01-09-1995,374,373.4,374.2,372.5
01-10-1995,375.1,375.2,375.9,374.2
01-11-1995,377.3,376,377.4,376
01-12-1995,381.4,378.2,382.7,378.1
01-13-1995,379.3,380.3,380.5,379.2
01-14-1995,379.3,380.3,380.5,379.2
01-15-1995,379.3,380.3,380.5,379.2
01-16-1995,378.3,377.6,378.4,377.6
01-17-1995,380.6,378.1,381.4,377.8
01-18-1995,382.6,384.2,384.9,382.5
01-19-1995,383.6,384.2,384.2,381.7
01-20-1995,385.4,383.5,385.6,383.1
01-21-1995,385.4,383.5,385.6,383.1
01-22-1995,385.4,383.5,385.6,383.1
01-23-1995,381.4,385.8,386,379.9
01-24-1995,381.8,381.4,382.2,380.8
01-25-1995,380.9,381.8,382.5,380.6
01-26-1995,381.7,380.7,382,380.7
01-27-1995,376.8,380.1,380.6,375
01-28-1995,376.8,380.1,380.6,375
01-29-1995,376.8,380.1,380.6,375
01-30-1995,379.4,379.1,379.8,378.3
01-31-1995,377.7,378.9,379,376.8
02-01-1995,378.7,378.7,379.7,378.5
02-02-1995,379.1,377.8,379.2,377.8
02-03-1995,378.8,379.3,379.4,377.7
02-04-1995,378.8,379.3,379.4,377.7
02-05-1995,378.8,379.3,379.4,377.7
02-06-1995,378.3,378.3,378.8,377
02-07-1995,377.3,377.8,378,377.1
02-08-1995,378.3,377.1,378.4,377
02-09-1995,378.8,378.5,379.8,378.3
02-10-1995,378.4,378.8,379.3,378.2
02-11-1995,378.4,378.8,379.3,378.2
02-12-1995,378.4,378.8,379.3,378.2
02-13-1995,377.9,377.9,378.3,376.4
02-14-1995,378.4,378.2,379,378
02-15-1995,378.6,379.2,379.9,378.4
02-16-1995,378.6,378.6,379.5,378.5
02-17-1995,380.6,378.3,381.7,378.3
02-18-1995,380.6,378.3,381.7,378.3
02-19-1995,380.6,378.3,381.7,378.3
02-20-1995,380.6,378.3,381.7,378.3
02-21-1995,380.6,381.2,381.5,380.5
02-22-1995,381.5,381,382.4,380.8
02-23-1995,381,380.8,381.9,380.8
02-24-1995,378.2,381.5,381.8,376.3
02-25-1995,378.2,381.5,381.8,376.3
02-26-1995,378.2,381.5,381.8,376.3
02-27-1995,378,378.6,378.8,377
02-28-1995,378.3,377.3,378.7,377.1
03-01-1995,376.2,377.4,377.8,374.5
03-02-1995,378,375.9,379,375.8
03-03-1995,377.8,377.3,378.9,376.9
03-04-1995,377.8,377.3,378.9,376.9
03-05-1995,377.8,377.3,378.9,376.9
03-06-1995,380.2,378.5,380.8,378.3
03-07-1995,385.4,380.9,386.1,380.9
03-08-1995,380.9,384.2,384.4,380.3
03-09-1995,382.4,382,383.8,381.4
03-10-1995,383.1,383.1,383.8,381.8
03-11-1995,383.1,383.1,383.8,381.8
03-12-1995,383.1,383.1,383.8,381.8
03-13-1995,386.1,384.1,388.4,384.1
03-14-1995,386.7,386,386.8,385.4
03-15-1995,387.2,388.2,388.9,386.8
03-16-1995,385.6,385.1,385.8,383.7
03-17-1995,384.2,383.3,384.8,381.8
03-18-1995,384.2,383.3,384.8,381.8
03-19-1995,384.2,383.3,384.8,381.8
03-20-1995,383.5,382.7,384,382.4
03-21-1995,382.8,383.5,384.2,382.5
03-22-1995,383.5,381.8,383.7,381.6
03-23-1995,384.3,383.8,384.9,383.6
03-24-1995,382.7,384.2,384.5,382
03-25-1995,382.7,384.2,384.5,382
03-26-1995,382.7,384.2,384.5,382
03-27-1995,382.3,382.7,383.3,382
03-28-1995,383.2,383,383.5,382
03-29-1995,382.9,383.3,384.8,382.2
03-30-1995,388.6,384,391.3,384
03-31-1995,394.3,389.1,402,388.2
04-01-1995,394.3,389.1,402,388.2
04-02-1995,394.3,389.1,402,388.2
04-03-1995,394.9,395.2,397.2,394.3
04-04-1995,395.1,393.2,396,393.1
04-05-1995,397.2,396.6,398.2,394.2
04-06-1995,396.5,396.1,398,395.3
04-07-1995,395.7,395.5,397.2,393.5
04-08-1995,395.7,395.5,397.2,393.5
04-09-1995,395.7,395.5,397.2,393.5
04-10-1995,392.6,393.6,394.8,391.4
04-11-1995,393,392.2,394.3,391.9
04-12-1995,392.7,392.4,393.9,392.4
04-13-1995,392.4,391.5,392.8,391
04-14-1995,392.4,391.5,392.8,391
04-15-1995,392.4,391.5,392.8,391
04-16-1995,392.4,391.5,392.8,391
