,date,CPI,Inflation_rate
0,01-01-1995,150.5,0.3
1,01-02-1995,150.5,0.3
2,01-03-1995,150.5,0.3
3,01-04-1995,150.5,0.3
4,01-05-1995,150.5,0.3
5,01-06-1995,150.5,0.3
6,01-07-1995,150.5,0.3
7,01-08-1995,150.5,0.3
8,01-09-1995,150.5,0.3
9,01-10-1995,150.5,0.3
10,01-11-1995,150.5,0.3
11,01-12-1995,150.5,0.3
12,01-13-1995,150.5,0.3
13,01-14-1995,150.5,0.3
14,01-15-1995,150.5,0.3
15,01-16-1995,150.5,0.3
16,01-17-1995,150.5,0.3
17,01-18-1995,150.5,0.3
18,01-19-1995,150.5,0.3
19,01-20-1995,150.5,0.3
20,01-21-1995,150.5,0.3
21,01-22-1995,150.5,0.3
22,01-23-1995,150.5,0.3
23,01-24-1995,150.5,0.3
24,01-25-1995,150.5,0.3
25,01-26-1995,150.5,0.3
26,01-27-1995,150.5,0.3
27,01-28-1995,150.5,0.3
28,01-29-1995,150.5,0.3
29,01-30-1995,150.5,0.3
30,01-31-1995,150.5,0.3
31,02-01-1995,150.9,0.3
32,02-02-1995,150.9,0.3
33,02-03-1995,150.9,0.3
34,02-04-1995,150.9,0.3
35,02-05-1995,150.9,0.3
36,02-06-1995,150.9,0.3
37,02-07-1995,150.9,0.3
38,02-08-1995,150.9,0.3
39,02-09-1995,150.9,0.3
40,02-10-1995,150.9,0.3
41,02-11-1995,150.9,0.3
42,02-12-1995,150.9,0.3
43,02-13-1995,150.9,0.3
44,02-14-1995,150.9,0.3
45,02-15-1995,150.9,0.3
46,02-16-1995,150.9,0.3
47,02-17-1995,150.9,0.3
48,02-18-1995,150.9,0.3
49,02-19-1995,150.9,0.3
50,02-20-1995,150.9,0.3
51,02-21-1995,150.9,0.3
52,02-22-1995,150.9,0.3
53,02-23-1995,150.9,0.3
54,02-24-1995,150.9,0.3
55,02-25-1995,150.9,0.3
56,02-26-1995,150.9,0.3
57,02-27-1995,150.9,0.3
58,02-28-1995,150.9,0.3
59,03-01-1995,151.2,0.2
60,03-02-1995,151.2,0.2
61,03-03-1995,151.2,0.2
62,03-04-1995,151.2,0.2
63,03-05-1995,151.2,0.2
64,03-06-1995,151.2,0.2
65,03-07-1995,151.2,0.2
66,03-08-1995,151.2,0.2
67,03-09-1995,151.2,0.2
68,03-10-1995,151.2,0.2
69,03-11-1995,151.2,0.2
70,03-12-1995,151.2,0.2
71,03-13-1995,151.2,0.2
72,03-14-1995,151.2,0.2
73,03-15-1995,151.2,0.2
74,03-16-1995,151.2,0.2
75,03-17-1995,151.2,0.2
76,03-18-1995,151.2,0.2
77,03-19-1995,151.2,0.2
78,03-20-1995,151.2,0.2
79,03-21-1995,151.2,0.2
80,03-22-1995,151.2,0.2
81,03-23-1995,151.2,0.2
82,03-24-1995,151.2,0.2
83,03-25-1995,151.2,0.2
84,03-26-1995,151.2,0.2
85,03-27-1995,151.2,0.2
86,03-28-1995,151.2,0.2
87,03-29-1995,151.2,0.2
88,03-30-1995,151.2,0.2
89,03-31-1995,151.2,0.2
90,04-01-1995,151.8,0.4
91,04-02-1995,151.8,0.4
92,04-03-1995,151.8,0.4
93,04-04-1995,151.8,0.4
94,04-05-1995,151.8,0.4
95,04-06-1995,151.8,0.4
96,04-07-1995,151.8,0.4
97,04-08-1995,151.8,0.4
98,04-09-1995,151.8,0.4
99,04-10-1995,151.8,0.4
100,04-11-1995,151.8,0.4
101,04-12-1995,151.8,0.4
102,04-13-1995,151.8,0.4
103,04-14-1995,151.8,0.4
104,04-15-1995,151.8,0.4
105,04-16-1995,151.8,0.4
106,04-17-1995,151.8,0.4
107,04-18-1995,151.8,0.4
108,04-19-1995,151.8,0.4
109,04-20-1995,151.8,0.4
110,04-21-1995,151.8,0.4
111,04-22-1995,151.8,0.4
112,04-23-1995,151.8,0.4
113,04-24-1995,151.8,0.4
114,04-25-1995,151.8,0.4
115,04-26-1995,151.8,0.4
116,04-27-1995,151.8,0.4
117,04-28-1995,151.8,0.4
118,04-29-1995,151.8,0.4
119,04-30-1995,151.8,0.4
120,05-01-1995,152.1,0.2
121,05-02-1995,152.1,0.2
122,05-03-1995,152.1,0.2
123,05-04-1995,152.1,0.2
124,05-05-1995,152.1,0.2
125,05-06-1995,152.1,0.2
126,05-07-1995,152.1,0.2
127,05-08-1995,152.1,0.2
128,05-09-1995,152.1,0.2
129,05-10-1995,152.1,0.2
130,05-11-1995,152.1,0.2
131,05-12-1995,152.1,0.2
132,05-13-1995,152.1,0.2
133,05-14-1995,152.1,0.2
134,05-15-1995,152.1,0.2
135,05-16-1995,152.1,0.2
136,05-17-1995,152.1,0.2
137,05-18-1995,152.1,0.2
138,05-19-1995,152.1,0.2
139,05-20-1995,152.1,0.2
140,05-21-1995,152.1,0.2
141,05-22-1995,152.1,0.2
142,05-23-1995,152.1,0.2
143,05-24-1995,152.1,0.2
144,05-25-1995,152.1,0.2
145,05-26-1995,152.1,0.2
146,05-27-1995,152.1,0.2
147,05-28-1995,152.1,0.2
148,05-29-1995,152.1,0.2
149,05-30-1995,152.1,0.2
150,05-31-1995,152.1,0.2
151,06-01-1995,152.4,0.2
152,06-02-1995,152.4,0.2
153,06-03-1995,152.4,0.2
154,06-04-1995,152.4,0.2
155,06-05-1995,152.4,0.2
156,06-06-1995,152.4,0.2
157,06-07-1995,152.4,0.2
158,06-08-1995,152.4,0.2
159,06-09-1995,152.4,0.2
160,06-10-1995,152.4,0.2
161,06-11-1995,152.4,0.2
162,06-12-1995,152.4,0.2
163,06-13-1995,152.4,0.2
164,06-14-1995,152.4,0.2
165,06-15-1995,152.4,0.2
166,06-16-1995,152.4,0.2
167,06-17-1995,152.4,0.2
168,06-18-1995,152.4,0.2
169,06-19-1995,152.4,0.2
170,06-20-1995,152.4,0.2
171,06-21-1995,152.4,0.2
172,06-22-1995,152.4,0.2
173,06-23-1995,152.4,0.2
174,06-24-1995,152.4,0.2
175,06-25-1995,152.4,0.2
176,06-26-1995,152.4,0.2
177,06-27-1995,152.4,0.2
178,06-28-1995,152.4,0.2
179,06-29-1995,152.4,0.2
180,06-30-1995,152.4,0.2
181,07-01-1995,152.6,0.1
182,07-02-1995,152.6,0.1
183,07-03-1995,152.6,0.1
184,07-04-1995,152.6,0.1
185,07-05-1995,152.6,0.1
186,07-06-1995,152.6,0.1
187,07-07-1995,152.6,0.1
188,07-08-1995,152.6,0.1
189,07-09-1995,152.6,0.1
190,07-10-1995,152.6,0.1
191,07-11-1995,152.6,0.1
192,07-12-1995,152.6,0.1
193,07-13-1995,152.6,0.1
194,07-14-1995,152.6,0.1
195,07-15-1995,152.6,0.1
196,07-16-1995,152.6,0.1
197,07-17-1995,152.6,0.1
198,07-18-1995,152.6,0.1
199,07-19-1995,152.6,0.1
200,07-20-1995,152.6,0.1
201,07-21-1995,152.6,0.1
202,07-22-1995,152.6,0.1
203,07-23-1995,152.6,0.1
204,07-24-1995,152.6,0.1
205,07-25-1995,152.6,0.1
206,07-26-1995,152.6,0.1
207,07-27-1995,152.6,0.1
208,07-28-1995,152.6,0.1
209,07-29-1995,152.6,0.1
210,07-30-1995,152.6,0.1
211,07-31-1995,152.6,0.1
212,08-01-1995,152.9,0.2
213,08-02-1995,152.9,0.2
214,08-03-1995,152.9,0.2
215,08-04-1995,152.9,0.2
216,08-05-1995,152.9,0.2
217,08-06-1995,152.9,0.2
218,08-07-1995,152.9,0.2
219,08-08-1995,152.9,0.2
220,08-09-1995,152.9,0.2
221,08-10-1995,152.9,0.2
222,08-11-1995,152.9,0.2
223,08-12-1995,152.9,0.2
224,08-13-1995,152.9,0.2
225,08-14-1995,152.9,0.2
226,08-15-1995,152.9,0.2
227,08-16-1995,152.9,0.2
228,08-17-1995,152.9,0.2
229,08-18-1995,152.9,0.2
230,08-19-1995,152.9,0.2
231,08-20-1995,152.9,0.2
232,08-21-1995,152.9,0.2
233,08-22-1995,152.9,0.2
234,08-23-1995,152.9,0.2
235,08-24-1995,152.9,0.2
236,08-25-1995,152.9,0.2
237,08-26-1995,152.9,0.2
238,08-27-1995,152.9,0.2
239,08-28-1995,152.9,0.2
240,08-29-1995,152.9,0.2
241,08-30-1995,152.9,0.2
242,08-31-1995,152.9,0.2
243,09-01-1995,153.1,0.1
244,09-02-1995,153.1,0.1
245,09-03-1995,153.1,0.1
246,09-04-1995,153.1,0.1
247,09-05-1995,153.1,0.1
248,09-06-1995,153.1,0.1
249,09-07-1995,153.1,0.1
250,09-08-1995,153.1,0.1
251,09-09-1995,153.1,0.1
252,09-10-1995,153.1,0.1
253,09-11-1995,153.1,0.1
254,09-12-1995,153.1,0.1
255,09-13-1995,153.1,0.1
256,09-14-1995,153.1,0.1
257,09-15-1995,153.1,0.1
258,09-16-1995,153.1,0.1
259,09-17-1995,153.1,0.1
260,09-18-1995,153.1,0.1
261,09-19-1995,153.1,0.1
262,09-20-1995,153.1,0.1
263,09-21-1995,153.1,0.1
264,09-22-1995,153.1,0.1
265,09-23-1995,153.1,0.1
266,09-24-1995,153.1,0.1
267,09-25-1995,153.1,0.1
268,09-26-1995,153.1,0.1
269,09-27-1995,153.1,0.1
270,09-28-1995,153.1,0.1
271,09-29-1995,153.1,0.1
272,09-30-1995,153.1,0.1
273,10-01-1995,153.5,0.3
274,10-02-1995,153.5,0.3
275,10-03-1995,153.5,0.3
276,10-04-1995,153.5,0.3
277,10-05-1995,153.5,0.3
278,10-06-1995,153.5,0.3
279,10-07-1995,153.5,0.3
280,10-08-1995,153.5,0.3
281,10-09-1995,153.5,0.3
282,10-10-1995,153.5,0.3
283,10-11-1995,153.5,0.3
284,10-12-1995,153.5,0.3
285,10-13-1995,153.5,0.3
286,10-14-1995,153.5,0.3
287,10-15-1995,153.5,0.3
288,10-16-1995,153.5,0.3
289,10-17-1995,153.5,0.3
290,10-18-1995,153.5,0.3
291,10-19-1995,153.5,0.3
292,10-20-1995,153.5,0.3
293,10-21-1995,153.5,0.3
294,10-22-1995,153.5,0.3
295,10-23-1995,153.5,0.3
296,10-24-1995,153.5,0.3
297,10-25-1995,153.5,0.3
298,10-26-1995,153.5,0.3
299,10-27-1995,153.5,0.3
300,10-28-1995,153.5,0.3
301,10-29-1995,153.5,0.3
302,10-30-1995,153.5,0.3
303,10-31-1995,153.5,0.3
304,11-01-1995,153.7,0.1
305,11-02-1995,153.7,0.1
306,11-03-1995,153.7,0.1
307,11-04-1995,153.7,0.1
308,11-05-1995,153.7,0.1
309,11-06-1995,153.7,0.1
310,11-07-1995,153.7,0.1
311,11-08-1995,153.7,0.1
312,11-09-1995,153.7,0.1
313,11-10-1995,153.7,0.1
314,11-11-1995,153.7,0.1
315,11-12-1995,153.7,0.1
316,11-13-1995,153.7,0.1
317,11-14-1995,153.7,0.1
318,11-15-1995,153.7,0.1
