Date,Open,High,Low,Close
03-07-2025,3727.9,3743.8,3688.2,3740.4
03-06-2025,3780.2,3786.1,3718,3730.9
03-05-2025,3728.7,3787.3,3726,3777.6
03-04-2025,3769.6,3770.4,3698.5,3724.7
03-03-2025,3807,3839.3,3751.4,3770.3
02-28-2025,3766,3806,3747.9,3805.3
02-27-2025,3821.6,3829.9,3766.1,3767.4
02-26-2025,3814.9,3846.6,3809.5,3821
02-25-2025,3827.3,3835.1,3791.6,3814.4
02-24-2025,3844,3856,3820.9,3828.2
02-21-2025,3895.2,3897.6,3841.5,3843.1
02-20-2025,3906.4,3908.5,3875.7,3893.7
02-19-2025,3909.5,3909.6,3891.3,3906.8
02-18-2025,3902.1,3910.7,3894.9,3910.7
02-14-2025,3897.1,3905.2,3894.6,3898.9
02-13-2025,3849.1,3897.9,3848.8,3894.2
02-12-2025,3856.5,3858.3,3822.4,3848.2
02-11-2025,3853,3861,3843.2,3855
02-10-2025,3829.7,3856.4,3828.1,3854.1
02-07-2025,3865.2,3873.1,3829.8,3832.8
02-06-2025,3847,3865.6,3846.2,3864
02-05-2025,3828.1,3848.7,3819.8,3848.7
02-04-2025,3799.7,3829.9,3795.5,3826.4
02-03-2025,3822.7,3822.9,3755,3796.5
01-31-2025,3850.1,3877,3830.5,3836.6
01-30-2025,3828.7,3861,3828.6,3853.5
01-29-2025,3837.6,3841.7,3814.1,3828.5
01-28-2025,3813.2,3840.6,3803.1,3836.3
01-27-2025,3854.6,3857.1,3797.1,3813.3
01-24-2025,3857.9,3868.4,3849.2,3856.8
01-23-2025,3837.7,3857.9,3834.3,3856.2
01-22-2025,3819.6,3845.2,3818.7,3838.2
01-21-2025,3790,3819.2,3783.5,3817.3
01-17-2025,3746.1,3785.5,3743.6,3777.9
01-16-2025,3746.1,3759.5,3740.2,3746.9
01-15-2025,3683.3,3749.3,3682.9,3744.5
01-14-2025,3679.7,3695.8,3664,3682.5
01-13-2025,3677.5,3677.6,3644.7,3674.9
01-10-2025,3731.7,3731.8,3668.1,3678.2
01-09-2025,3732.3,3733.6,3725.7,3732.1
01-08-2025,3731.7,3737.4,3710.9,3732.2
01-07-2025,3763.5,3780.3,3723.4,3733.6
01-06-2025,3738.6,3785,3736.1,3763.2
01-03-2025,3702.1,3741.9,3700.7,3737.5
01-02-2025,3707.5,3733.8,3682.8,3702.7
12-31-2024,3720.9,3732.1,3701.6,3707.8
12-30-2024,3755.5,3755.8,3700.4,3718.9
12-27-2024,3781,3787.4,3736.4,3755.4
12-26-2024,3779.8,3784.7,3764.8,3778.7
12-24-2024,3746.3,3779,3745.6,3777.9
12-23-2024,3724.9,3748.2,3710.5,3745.1
12-20-2024,3694.5,3749.9,3668.2,3723.2
12-19-2024,3711.3,3733.1,3694.9,3696.1
12-18-2024,3811.7,3818.6,3710.9,3720.4
12-17-2024,3826.8,3829.6,3805.2,3812.1
12-16-2024,3817.8,3832.5,3813.8,3827
12-13-2024,3824.4,3832.8,3809.6,3817.2
12-12-2024,3842.8,3847.3,3824.1,3826.1
12-11-2024,3818.3,3846.8,3814.6,3842.4
12-10-2024,3835.2,3835.8,3816.2,3816.8
12-09-2024,3854.7,3858.7,3832.8,3837.6
12-06-2024,3849.3,3860.8,3846.1,3855.1
12-05-2024,3848.8,3858.3,3848.4,3848.5
