Date,Open,High,Low,Close,Volume
03-07-2025,20015.62,20253.22,19736.81,20201.37,8135420000
03-06-2025,20231.74,20473.41,19968.56,20052.63,7686200000
03-05-2025,20363.22,20688.72,20182.57,20628.46,7048430000
03-04-2025,20281.88,20688.46,20034.68,20352.53,8469180000
03-03-2025,20989.58,21073.8,20279.5,20425.58,8170140000
02-28-2025,20518.65,20900.77,20407.45,20884.41,8247520000
02-27-2025,21281.36,21323.91,20540.68,20550.95,7700290000
02-26-2025,21170.51,21350.52,21012.62,21132.92,7034450000
02-25-2025,21318.77,21326.81,20930.58,21087.25,7991440000
02-24-2025,21669.36,21727.58,21341.96,21352.08,7414760000
02-21-2025,22110.54,22115.21,21597.16,21614.08,8461020000
02-20-2025,22132.71,22148.44,21878.75,22068.06,7329270000
02-19-2025,22121.73,22222.61,22045.75,22175.6,8171530000
02-18-2025,22176.01,22191.37,22029.58,22164.61,8683170000
02-14-2025,22038.61,22139.43,22010.35,22114.69,7995720000
02-13-2025,21786.16,22038.15,21758.04,22030.71,8414510000
02-12-2025,21475.41,21745.66,21454.19,21719.26,7946550000
02-11-2025,21629.11,21776.25,21625.51,21693.52,9269380000
02-10-2025,21670.06,21793.13,21645.17,21756.73,9535440000
02-07-2025,21776.28,21869.32,21465.46,21491.31,7748940000
02-06-2025,21674.17,21776.08,21618.25,21774.07,6642100000
02-05-2025,21453.87,21662.98,21408.64,21658.16,6712220000
02-04-2025,21319.58,21582.4,21308.24,21566.92,6477050000
02-03-2025,21084.64,21406.58,21004.35,21297.58,8272460000
01-31-2025,21661.56,21846.01,21425.79,21478.05,7947370000
01-30-2025,21519.81,21623.45,21308.69,21508.12,6679500000
01-29-2025,21473.01,21477.88,21251.8,21411.46,6497710000
01-28-2025,21186.08,21500.73,21043.13,21463.04,7121740000
01-27-2025,21000.17,21292.54,20974.9,21127.28,8870200000
01-24-2025,21915.48,21945.48,21709.06,21774.01,7708150000
01-23-2025,21737.24,21900.93,21722.04,21900.93,6837700000
01-22-2025,21756.23,21943.04,21756.23,21853,7219060000
01-21-2025,21557.82,21620.23,21379.06,21566.51,8015780000
01-17-2025,21461.9,21515.76,21334.63,21441.16,7996360000
01-16-2025,21324.98,21330.59,21087.85,21091.25,7085990000
01-15-2025,21067.81,21286.01,21024.27,21237.85,7260250000
01-14-2025,20896.36,20969.52,20622.72,20757.41,7168110000
01-13-2025,20593.65,20797.1,20538.33,20784.72,7830760000
01-10-2025,21012.29,21015.51,20718.78,20847.58,8608880000
01-08-2025,21156.76,21242.61,20992.08,21180.97,8851720000
01-07-2025,21619.89,21621.25,21101.09,21173.04,13371130000
01-06-2025,21551.18,21703.49,21462.52,21559.5,9586840000
01-03-2025,21096.79,21359.63,21075.89,21326.16,8214050000
01-02-2025,21120.05,21236.59,20800.5,20975.62,8737550000
12-31-2024,21256.02,21276.14,20979.52,21012.17,8873030000
12-30-2024,21189.1,21346.06,21046.63,21197.09,8384090000
12-27-2024,21633.1,21642.26,21292.19,21473.02,7765120000
12-26-2024,21733.98,21837.7,21645.62,21768.31,6467910000
12-24-2024,21564.37,21797.65,21558.97,21797.65,4739190000
12-23-2024,21364.26,21510.09,21224.27,21503.17,6820720000
12-20-2024,20939.64,21540.32,20913.72,21289.15,10962450000
12-19-2024,21358.79,21413.74,21093.46,21110.51,8029590000
12-18-2024,21979.53,22038.08,21146.83,21209.32,9996120000
12-17-2024,22003.64,22062,21921.21,22001.08,9534350000
