Date,Open,High,Low,Close,Volume
03-07-2025,2065.5,2084.4,2033.69,2075.48,5705140000
03-06-2025,2081.57,2093.39,2055.42,2066.55,5165080000
03-05-2025,2080.49,2102.95,2066.15,2100.75,5285970000
03-04-2025,2083.7,2112.1,2048.01,2079.53,6138110000
03-03-2025,2168.02,2173.57,2092.17,2102.24,5613850000
02-28-2025,2135.59,2163.23,2126.08,2163.07,6441140000
02-27-2025,2175.13,2177.79,2139.41,2139.66,5057680000
02-26-2025,2175.44,2199.92,2166.86,2174.17,4869580000
02-25-2025,2180.47,2184.76,2154.35,2170.08,5374690000
02-24-2025,2200.71,2202.06,2169.54,2178.27,4990120000
02-21-2025,2275.96,2282.63,2194.11,2195.35,5434560000
02-20-2025,2280.3,2280.3,2250.11,2261.74,4813690000
02-19-2025,2278.29,2288.75,2273.63,2282.46,4562330000
02-18-2025,2281.56,2294.59,2277.17,2290.35,4684980000
02-14-2025,2287.85,2297.71,2276.63,2279.98,4335190000
02-13-2025,2264.83,2282.42,2259.07,2282.18,4763800000
02-12-2025,2250.71,2262.57,2240.51,2255.89,4627960000
02-11-2025,2278.16,2282.21,2270.89,2275.7,4324880000
02-10-2025,2289.38,2294.71,2281.65,2287.94,4458760000
02-07-2025,2308.19,2311.51,2277.63,2279.71,4766900000
02-06-2025,2323.3,2326.95,2295.68,2307.12,4847120000
02-05-2025,2297.74,2316.23,2293.38,2316.23,4756250000
02-04-2025,2257.19,2291.38,2257.11,2290.21,4410160000
02-03-2025,2244.82,2271.21,2229.51,2258.42,4797210000
01-31-2025,2307.7,2322.29,2278.78,2287.69,4843770000
01-30-2025,2299.82,2320.53,2293.71,2307.45,4634620000
01-29-2025,2286.57,2300.87,2269.11,2283.1,4115310000
01-28-2025,2287.11,2294.67,2275.08,2288.86,4473640000
01-27-2025,2290.15,2311.79,2273.67,2284.02,5198750000
01-24-2025,2312.38,2322.27,2303.15,2307.74,4214250000
01-23-2025,2296.11,2314.72,2289.27,2314.6,4432250000
01-22-2025,2316.14,2318.63,2301.9,2303.72,4323040000
01-21-2025,2286.4,2318.81,2286.4,2317.97,4702920000
01-17-2025,2281.66,2289.97,2269.22,2275.88,4366830000
01-16-2025,2261.97,2273.04,2252.89,2266.79,4285810000
01-15-2025,2256.56,2278.17,2252.74,2263.29,4544570000
01-14-2025,2206.16,2221.33,2194.85,2219.24,4142280000
01-13-2025,2176.49,2194.69,2158.63,2194.4,4421200000
01-10-2025,2215.23,2215.23,2176.03,2189.23,4751930000
