Date,Price,Open,High,Low
12-26-1979,107.8,107.8,108.4,107.1
12-27-1979,108,108,108.5,107.1
12-28-1979,107.8,107.8,108.6,107.2
12-29-1979,107.8,107.8,108.6,107.2
12-30-1979,107.8,107.8,108.6,107.2
12-31-1979,107.9,107.9,108.5,107.3
01-01-1980,107.9,107.9,107.9,107.9
01-02-1980,105.8,105.8,108.4,105.3
01-03-1980,105.2,105.2,106.1,103.3
01-04-1980,106.5,106.5,107.1,105.1
01-05-1980,106.5,106.5,107.1,105.1
01-06-1980,106.5,106.5,107.1,105.1
01-07-1980,106.8,106.8,107.8,105.8
01-08-1980,108.9,108.9,109.3,106.3
01-09-1980,109.1,109.1,111.1,108.4
01-10-1980,109.9,109.9,110.9,108.5
01-11-1980,109.9,109.9,111.2,108.9
01-12-1980,109.9,109.9,111.2,108.9
01-13-1980,109.9,109.9,111.2,108.9
01-14-1980,110.4,110.4,111.4,109.3
01-15-1980,111.1,111.1,111.9,109.4
01-16-1980,111.1,111.1,112.9,110.4
01-17-1980,110.7,110.7,112,109.8
01-18-1980,111.1,111.1,111.7,109.7
01-19-1980,111.1,111.1,111.7,109.7
01-20-1980,111.1,111.1,111.7,109.7
01-21-1980,112.1,112.1,112.9,110.7
01-22-1980,111.5,111.5,113.1,110.9
01-23-1980,113.4,113.4,113.9,110.9
01-24-1980,113.7,113.7,115.3,112.9
01-25-1980,113.6,113.6,114.4,112.4
01-26-1980,113.6,113.6,114.4,112.4
01-27-1980,113.6,113.6,114.4,112.4
01-28-1980,114.8,114.8,115.7,112.9
01-29-1980,114.1,114.1,115.8,113
01-30-1980,115.2,115.2,115.8,113.4
01-31-1980,114.2,114.2,117.2,113.8
02-01-1980,115.1,115.1,115.5,113.1
02-02-1980,115.1,115.1,115.5,113.1
02-03-1980,115.1,115.1,115.5,113.1
02-04-1980,114.4,114.4,116,113.8
02-05-1980,114.7,114.7,115.2,112.2
02-06-1980,115.7,115.7,116.6,113.7
02-07-1980,116.3,116.3,117.9,115.2
02-08-1980,117.9,117.9,118.7,115.7
02-09-1980,117.9,117.9,118.7,115.7
02-10-1980,117.9,117.9,118.7,115.7
02-11-1980,117.1,117.1,119.1,116.3
02-12-1980,117.9,117.9,118.4,115.8
02-13-1980,118.4,118.4,120.2,117.6
02-14-1980,116.7,116.7,119.3,116
02-15-1980,115.4,115.4,116.7,114.1
02-16-1980,115.4,115.4,116.7,114.1
02-17-1980,115.4,115.4,116.7,114.1
02-18-1980,115.4,115.4,115.4,115.4
02-19-1980,114.6,114.6,115.7,113.3
02-20-1980,116.5,116.5,117.2,114.1
02-21-1980,115.3,115.3,117.9,114.4
02-22-1980,115,115,116.5,113.4
02-23-1980,115,115,116.5,113.4
02-24-1980,115,115,116.5,113.4
02-25-1980,113.3,113.3,114.9,112.6
02-26-1980,114,114,114.8,112.3
02-27-1980,112.4,112.4,115.1,111.9
02-28-1980,112.3,112.3,113.7,111.3
02-29-1980,113.7,113.7,114.1,111.8
03-01-1980,113.7,113.7,114.1,111.8
03-02-1980,113.7,113.7,114.1,111.8
03-03-1980,112.5,112.5,114.3,112
03-04-1980,112.8,112.8,113.4,110.8
03-05-1980,111.1,111.1,113.9,110.6
03-06-1980,108.7,108.7,111.3,107.8
03-07-1980,106.9,106.9,109,106
03-08-1980,106.9,106.9,109,106
03-09-1980,106.9,106.9,109,106
03-10-1980,106.5,106.5,107.9,104.9
03-11-1980,107.8,107.8,108.5,106.2
03-12-1980,106.9,106.9,108.4,105.4
03-13-1980,105.6,105.6,107.6,105.1
03-14-1980,105.4,105.4,106.5,104
03-15-1980,105.4,105.4,106.5,104
03-16-1980,105.4,105.4,106.5,104
03-17-1980,102.3,102.3,105.2,101.8
03-18-1980,104.1,104.1,104.7,101.1
03-19-1980,104.3,104.3,105.7,103.3
03-20-1980,103.1,103.1,105.2,102.5
03-21-1980,102.3,102.3,103.7,101.6
03-22-1980,102.3,102.3,103.7,101.6
03-23-1980,102.3,102.3,103.7,101.6
03-24-1980,99.3,99.3,102.2,98.9
03-25-1980,99.2,99.2,100.6,97.9
03-26-1980,98.7,98.7,101.2,98.1
03-27-1980,98.2,98.2,99.6,94.2
03-28-1980,100.7,100.7,101.4,97.7
03-29-1980,100.7,100.7,101.4,97.7
03-30-1980,100.7,100.7,101.4,97.7
03-31-1980,102.1,102.1,102.7,100
04-01-1980,102.2,102.2,103.3,100.8
04-02-1980,102.7,102.7,103.9,101.4
04-03-1980,102.2,102.2,103.3,101.3
04-04-1980,102.2,102.2,103.3,101.3
04-05-1980,102.2,102.2,103.3,101.3
04-06-1980,102.2,102.2,103.3,101.3
04-07-1980,100.2,100.2,102.3,99.7
04-08-1980,101.2,101.2,101.9,99.2
04-09-1980,103.1,103.1,103.6,101
04-10-1980,104.1,104.1,105,102.8
04-11-1980,103.8,103.8,105.2,103.2
04-12-1980,103.8,103.8,105.2,103.2
04-13-1980,103.8,103.8,105.2,103.2
04-14-1980,102.8,102.8,103.9,102.1
04-15-1980,102.6,102.6,103.9,101.8
04-16-1980,101.5,101.5,104.4,101.1
04-17-1980,101.1,101.1,102.2,100.1
04-18-1980,100.6,100.6,102.1,100
04-19-1980,100.6,100.6,102.1,100
04-20-1980,100.6,100.6,102.1,100
04-21-1980,99.8,99.8,101.3,98.9
04-22-1980,103.4,103.4,104,100.8
04-23-1980,103.7,103.7,105.1,102.8
