Date,Price,Open,High,Low
12-31-2009,0.061,0.061,0.061,0.061
12-30-2009,0.043,0.043,0.043,0.043
12-29-2009,0.101,0.101,0.101,0.101
12-28-2009,0.063,0.063,0.063,0.063
12-24-2009,0.048,0.048,0.048,0.048
12-23-2009,0.066,0.066,0.066,0.066
12-22-2009,0.076,0.076,0.076,0.076
12-21-2009,0.051,0.051,0.051,0.051
12-18-2009,0.046,0.046,0.046,0.046
12-17-2009,0.043,0.043,0.043,0.043
12-16-2009,0.041,0.041,0.041,0.041
12-15-2009,0.046,0.046,0.046,0.046
12-14-2009,0.03,0.03,0.03,0.03
12-11-2009,0.025,0.025,0.025,0.025
12-10-2009,0.028,0.028,0.028,0.028
12-09-2009,0.033,0.033,0.033,0.033
12-08-2009,0.025,0.025,0.025,0.025
12-07-2009,0.023,0.023,0.023,0.023
12-04-2009,0.051,0.051,0.051,0.051
12-03-2009,0.048,0.048,0.048,0.048
12-02-2009,0.046,0.046,0.046,0.046
12-01-2009,0.056,0.056,0.056,0.056
11-30-2009,0.056,0.028,0.058,0.025
11-27-2009,0.028,0.043,0.048,0.025
11-25-2009,0.046,0.046,0.066,0.043
11-24-2009,0.046,0.041,0.086,0.041
11-23-2009,0.025,0.025,0.025,0.025
11-20-2009,0.02,0.02,0.02,0.02
11-19-2009,0.02,0.02,0.02,0.02
11-18-2009,0.03,0.03,0.03,0.03
11-17-2009,0.063,0.063,0.063,0.063
11-16-2009,0.058,0.058,0.058,0.058
11-13-2009,0.063,0.063,0.063,0.063
11-12-2009,0.063,0.063,0.063,0.063
11-10-2009,0.066,0.066,0.066,0.066
11-09-2009,0.053,0.053,0.053,0.053
11-06-2009,0.056,0.056,0.056,0.056
11-05-2009,0.041,0.041,0.041,0.041
11-04-2009,0.051,0.051,0.051,0.051
11-03-2009,0.053,0.053,0.053,0.053
11-02-2009,0.051,0.051,0.051,0.051
10-30-2009,0.051,0.051,0.051,0.051
10-29-2009,0.058,0.058,0.058,0.058
10-28-2009,0.071,0.071,0.071,0.071
10-27-2009,0.076,0.076,0.076,0.076
10-26-2009,0.056,0.056,0.056,0.056
10-23-2009,0.061,0.061,0.061,0.061
10-22-2009,0.053,0.053,0.053,0.053
10-21-2009,0.071,0.071,0.071,0.071
10-20-2009,0.084,0.084,0.084,0.084
10-19-2009,0.068,0.068,0.068,0.068
10-16-2009,0.066,0.066,0.066,0.066
10-15-2009,0.063,0.063,0.063,0.063
10-14-2009,0.061,0.061,0.061,0.061
10-13-2009,0.066,0.066,0.066,0.066
10-09-2009,0.071,0.071,0.071,0.071
10-08-2009,0.066,0.066,0.066,0.066
10-07-2009,0.086,0.086,0.086,0.086
10-06-2009,0.076,0.076,0.076,0.076
10-05-2009,0.096,0.096,0.096,0.096
10-02-2009,0.099,0.099,0.099,0.099
10-01-2009,0.101,0.101,0.101,0.101
09-30-2009,0.127,0.127,0.127,0.127
09-29-2009,0.127,0.127,0.127,0.127
09-28-2009,0.099,0.099,0.099,0.099
09-25-2009,0.101,0.101,0.101,0.101
09-24-2009,0.096,0.096,0.096,0.096
09-23-2009,0.101,0.101,0.101,0.101
09-22-2009,0.106,0.106,0.106,0.106
09-21-2009,0.094,0.094,0.094,0.094
09-18-2009,0.086,0.086,0.086,0.086
09-17-2009,0.099,0.099,0.099,0.099
09-16-2009,0.117,0.117,0.117,0.117
09-15-2009,0.134,0.134,0.134,0.134
09-14-2009,0.137,0.137,0.137,0.137
09-11-2009,0.142,0.142,0.142,0.142
09-10-2009,0.145,0.145,0.145,0.145
09-09-2009,0.147,0.147,0.147,0.147
09-08-2009,0.134,0.134,0.134,0.134
09-04-2009,0.137,0.137,0.137,0.137
09-03-2009,0.137,0.137,0.137,0.137
09-02-2009,0.137,0.137,0.137,0.137
09-01-2009,0.142,0.142,0.142,0.142
08-31-2009,0.142,0.142,0.142,0.142
08-28-2009,0.14,0.14,0.14,0.14
08-27-2009,0.147,0.147,0.147,0.147
08-26-2009,0.157,0.157,0.157,0.157
08-25-2009,0.165,0.165,0.165,0.165
08-24-2009,0.162,0.162,0.162,0.162
08-21-2009,0.167,0.167,0.167,0.167
08-20-2009,0.165,0.165,0.165,0.165
08-19-2009,0.167,0.167,0.167,0.167
08-18-2009,0.185,0.185,0.185,0.185
08-17-2009,0.177,0.183,0.183,0.172
08-14-2009,0.175,0.188,0.188,0.172
08-13-2009,0.175,0.188,0.188,0.172
08-12-2009,0.183,0.213,0.213,0.157
08-11-2009,0.188,0.025,0.19,0.013
