Date,Price,Open,High,Low
03-07-2025,4.305,4.328,4.358,4.302
03-06-2025,4.301,4.332,4.366,4.306
03-05-2025,4.312,4.315,4.33,4.301
03-04-2025,4.316,4.302,4.336,4.289
03-03-2025,4.299,4.325,4.351,4.299
02-28-2025,4.299,4.322,4.359,4.297
02-27-2025,4.301,4.322,4.353,4.301
02-26-2025,4.3,4.309,4.309,4.294
02-25-2025,4.292,4.305,4.312,4.289
02-24-2025,4.291,4.307,4.384,4.296
02-21-2025,4.305,4.337,4.354,4.307
02-20-2025,4.314,4.361,4.363,4.317
02-19-2025,4.322,4.356,4.371,4.325
02-18-2025,4.319,4.379,4.379,4.319
02-14-2025,4.32,4.35,4.35,4.322
02-13-2025,4.324,4.356,4.374,4.327
02-12-2025,4.332,4.356,4.395,4.33
02-11-2025,4.33,4.346,4.369,4.33
02-10-2025,4.335,4.374,4.38,4.335
02-07-2025,4.336,4.345,4.372,4.323
02-06-2025,4.322,4.345,4.353,4.322
02-05-2025,4.317,4.338,4.338,4.32
02-04-2025,4.32,4.339,4.38,4.323
02-03-2025,4.296,4.325,4.325,4.296
01-31-2025,4.289,4.311,4.335,4.294
01-30-2025,4.291,4.304,4.324,4.293
01-29-2025,4.294,4.318,4.318,4.288
01-28-2025,4.294,4.31,4.323,4.297
01-27-2025,4.294,4.333,4.353,4.296
01-24-2025,4.31,4.337,4.351,4.31
01-23-2025,4.316,4.34,4.366,4.319
01-22-2025,4.322,4.336,4.348,4.317
01-21-2025,4.304,4.314,4.332,4.298
01-17-2025,4.298,4.314,4.343,4.301
01-16-2025,4.301,4.322,4.353,4.293
01-15-2025,4.307,4.341,4.358,4.309
01-14-2025,4.321,4.333,4.333,4.323
01-13-2025,4.325,4.356,4.389,4.327
01-10-2025,4.325,4.329,4.359,4.312
01-09-2025,4.307,4.338,4.353,4.311
01-08-2025,4.312,4.346,4.346,4.312
01-07-2025,4.311,4.344,4.344,4.307
01-06-2025,4.299,4.328,4.343,4.296
01-03-2025,4.299,4.336,4.341,4.302
01-02-2025,4.313,4.34,4.36,4.317
12-31-2024,4.322,4.317,4.395,4.317
12-30-2024,4.283,4.315,4.338,4.283
12-27-2024,4.284,4.35,4.402,4.294
12-26-2024,4.329,4.384,4.4,4.335
12-24-2024,4.326,4.356,4.356,4.332
12-23-2024,4.325,4.346,4.385,4.327
12-20-2024,4.324,4.355,4.374,4.331
12-19-2024,4.332,4.364,4.408,4.337
12-18-2024,4.34,4.374,4.403,4.343
12-17-2024,4.354,4.367,4.372,4.333
12-16-2024,4.314,4.346,4.384,4.322
12-13-2024,4.325,4.366,4.381,4.325
12-12-2024,4.332,4.387,4.395,4.335
12-11-2024,4.364,4.413,4.428,4.366
12-10-2024,4.395,4.424,4.424,4.398
12-09-2024,4.397,4.418,4.439,4.402
12-06-2024,4.398,4.495,4.495,4.408
12-05-2024,4.446,4.496,4.498,4.443
12-04-2024,4.457,4.509,4.509,4.457
12-03-2024,4.465,4.499,4.525,4.47
12-02-2024,4.466,4.504,4.529,4.472
11-29-2024,4.488,4.513,4.527,4.488
11-27-2024,4.5,4.533,4.537,4.5
11-26-2024,4.507,4.551,4.551,4.509
11-25-2024,4.527,4.568,4.604,4.531
11-22-2024,4.545,4.567,4.602,4.54
11-21-2024,4.544,4.565,4.568,4.536
11-20-2024,4.539,4.563,4.563,4.539
11-19-2024,4.533,4.553,4.553,4.535
11-18-2024,4.516,4.527,4.553,4.511
11-15-2024,4.506,4.594,4.594,4.504
11-14-2024,4.524,4.527,4.55,4.5
11-13-2024,4.503,4.564,4.568,4.503
11-12-2024,4.534,4.596,4.596,4.529
11-08-2024,4.537,4.55,4.607,4.529
11-07-2024,4.534,4.55,4.618,4.534
11-06-2024,4.54,4.548,4.581,4.54
11-05-2024,4.538,4.538,4.564,4.538
11-04-2024,4.527,4.568,4.571,4.506
11-01-2024,4.514,4.604,4.604,4.517
10-31-2024,4.547,4.612,4.63,4.55
10-30-2024,4.579,4.618,4.62,4.579
10-29-2024,4.599,4.616,4.618,4.597
10-28-2024,4.602,4.672,4.672,4.612
10-25-2024,4.633,4.648,4.662,4.617
10-24-2024,4.612,4.646,4.676,4.622
10-23-2024,4.638,4.656,4.659,4.638
10-22-2024,4.625,4.637,4.657,4.633
10-21-2024,4.641,4.654,4.706,4.638
10-20-2024,4.657,4.657,4.657,4.657
10-18-2024,4.641,4.664,4.716,4.639
10-17-2024,4.651,4.684,4.703,4.633
10-16-2024,4.628,4.672,4.672,4.625
10-15-2024,4.64,4.664,4.702,4.637
10-14-2024,4.656,4.656,4.656,4.656
10-11-2024,4.641,4.664,4.705,4.641
10-10-2024,4.661,4.672,4.727,4.643
10-09-2024,4.656,4.669,4.669,4.646
10-08-2024,4.649,4.678,4.68,4.647
10-07-2024,4.659,4.649,4.695,4.648
10-06-2024,4.646,4.649,4.649,4.646
10-04-2024,4.641,4.617,4.657,4.6
10-03-2024,4.599,4.631,4.638,4.594
10-02-2024,4.597,4.615,4.641,4.594
10-01-2024,4.618,4.634,4.639,4.605
09-30-2024,4.63,4.646,4.685,4.627
09-29-2024,4.656,4.636,4.656,4.636
09-27-2024,4.628,4.64,4.672,4.615
09-26-2024,4.62,4.648,4.676,4.619
09-25-2024,4.62,4.651,4.68,4.62
09-24-2024,4.62,4.657,4.686,4.623
09-23-2024,4.638,4.703,4.705,4.63
09-22-2024,4.672,4.672,4.672,4.672
09-20-2024,4.672,4.77,4.776,4.672
09-19-2024,4.734,4.778,4.827,4.723
09-18-2024,4.781,4.891,4.955,4.753
09-17-2024,4.869,4.951,4.954,4.865
09-16-2024,4.879,4.897,4.92,4.843
09-15-2024,4.903,4.903,4.903,4.903
09-13-2024,4.903,4.993,4.996,4.895
09-12-2024,4.983,5.023,5.049,4.98
09-11-2024,5.01,5.002,5.051,4.971
09-10-2024,4.971,5.016,5.029,4.971
09-09-2024,5.035,5.072,5.113,5.03
09-08-2024,5.074,5.067,5.074,5.067
09-06-2024,5.056,5.084,5.105,5.007
09-05-2024,5.074,5.108,5.108,5.071
09-04-2024,5.085,5.121,5.127,5.082
09-03-2024,5.11,5.169,5.169,5.119
09-02-2024,5.156,5.159,5.159,5.156
08-30-2024,5.103,5.151,5.164,5.117
08-29-2024,5.108,5.16,5.16,5.107
08-28-2024,5.093,5.141,5.141,5.107
