Date,Price,Open,High,Low
03-07-2025,4.03,4.024,4.059,4.017
03-06-2025,4.058,4.089,4.126,4.033
03-05-2025,4.075,4.033,4.089,3.963
03-04-2025,4.041,3.951,4.05,3.88
03-03-2025,3.966,4.057,4.071,3.951
02-28-2025,4.01,4.071,4.091,4.002
02-27-2025,4.078,4.101,4.138,4.077
02-26-2025,4.083,4.159,4.169,4.071
02-25-2025,4.13,4.234,4.235,4.115
02-24-2025,4.234,4.285,4.297,4.226
02-21-2025,4.27,4.351,4.351,4.249
02-20-2025,4.346,4.363,4.367,4.329
02-19-2025,4.364,4.404,4.413,4.363
02-18-2025,4.401,4.334,4.409,4.334
02-14-2025,4.328,4.397,4.402,4.301
02-13-2025,4.39,4.469,4.486,4.377
02-12-2025,4.469,4.375,4.496,4.363
02-11-2025,4.371,4.35,4.382,4.345
02-10-2025,4.341,4.34,4.357,4.304
02-07-2025,4.346,4.271,4.363,4.271
02-06-2025,4.274,4.253,4.292,4.241
02-05-2025,4.249,4.331,4.334,4.22
02-04-2025,4.318,4.371,4.398,4.313
02-03-2025,4.36,4.38,4.384,4.276
01-31-2025,4.332,4.325,4.37,4.303
01-30-2025,4.323,4.343,4.348,4.292
01-29-2025,4.337,4.327,4.399,4.311
01-28-2025,4.33,4.354,4.378,4.327
01-27-2025,4.333,4.41,4.412,4.296
01-24-2025,4.42,4.444,4.46,4.401
01-23-2025,4.451,4.435,4.474,4.419
01-22-2025,4.438,4.401,4.44,4.381
01-21-2025,4.391,4.355,4.412,4.334
01-17-2025,4.429,4.41,4.435,4.367
01-16-2025,4.395,4.451,4.501,4.382
01-15-2025,4.45,4.599,4.599,4.437
01-14-2025,4.598,4.583,4.613,4.561
01-13-2025,4.609,4.615,4.62,4.579
01-10-2025,4.578,4.442,4.595,4.44
01-09-2025,4.454,4.46,4.461,4.424
01-08-2025,4.461,4.47,4.502,4.438
01-07-2025,4.463,4.435,4.486,4.406
01-06-2025,4.421,4.431,4.447,4.382
01-03-2025,4.415,4.357,4.417,4.348
01-02-2025,4.371,4.382,4.408,4.329
12-31-2024,4.378,4.354,4.4,4.34
12-30-2024,4.36,4.463,4.465,4.361
12-27-2024,4.463,4.433,4.466,4.417
12-26-2024,4.435,4.452,4.491,4.43
12-24-2024,4.437,4.431,4.478,4.425
12-23-2024,4.435,4.377,4.445,4.375
12-20-2024,4.384,4.416,4.418,4.334
12-19-2024,4.422,4.401,4.443,4.384
12-18-2024,4.405,4.255,4.412,4.232
12-17-2024,4.258,4.259,4.301,4.238
12-16-2024,4.258,4.238,4.262,4.216
12-13-2024,4.247,4.183,4.257,4.17
12-12-2024,4.192,4.128,4.193,4.116
12-11-2024,4.138,4.097,4.163,4.056
12-10-2024,4.098,4.07,4.118,4.056
12-09-2024,4.075,4.029,4.076,4.022
12-06-2024,4.031,4.079,4.116,4.008
12-05-2024,4.074,4.081,4.118,4.069
12-04-2024,4.07,4.116,4.16,4.057
12-03-2024,4.112,4.088,4.12,4.055
12-02-2024,4.091,4.088,4.142,4.071
11-29-2024,4.053,4.128,4.13,4.047
11-27-2024,4.133,4.181,4.181,4.101
11-26-2024,4.182,4.194,4.224,4.167
11-25-2024,4.175,4.245,4.275,4.169
11-22-2024,4.305,4.3,4.311,4.261
11-21-2024,4.299,4.279,4.316,4.243
11-20-2024,4.283,4.268,4.3,4.25
11-19-2024,4.26,4.275,4.28,4.201
11-18-2024,4.276,4.305,4.346,4.271
11-15-2024,4.311,4.333,4.385,4.266
11-14-2024,4.334,4.312,4.351,4.253
11-13-2024,4.302,4.319,4.358,4.23
11-12-2024,4.314,4.229,4.33,4.214
11-08-2024,4.192,4.181,4.204,4.137
11-07-2024,4.169,4.274,4.288,4.156
11-06-2024,4.269,4.144,4.329,4.144
11-05-2024,4.156,4.151,4.237,4.146
11-04-2024,4.148,4.149,4.183,4.116
11-01-2024,4.226,4.165,4.23,4.067
10-31-2024,4.154,4.156,4.209,4.134
10-30-2024,4.156,4.08,4.167,4.045
10-29-2024,4.104,4.104,4.174,4.081
10-28-2024,4.108,4.09,4.132,4.056
10-25-2024,4.052,4.028,4.072,3.995
10-24-2024,4.021,4.06,4.062,3.993
10-23-2024,4.057,4.01,4.064,4.008
10-22-2024,4.006,3.983,4.015,3.964
10-21-2024,3.985,3.894,3.99,3.878
10-20-2024,3.894,3.889,3.894,3.889
10-18-2024,3.88,3.899,3.919,3.869
10-17-2024,3.904,3.849,3.917,3.846
10-16-2024,3.846,3.858,3.863,3.823
10-15-2024,3.854,3.911,3.918,3.851
10-14-2024,3.912,3.911,3.914,3.911
10-11-2024,3.898,3.889,3.927,3.872
10-10-2024,3.889,3.917,4.004,3.875
10-09-2024,3.917,3.851,3.92,3.834
10-08-2024,3.848,3.855,3.887,3.823
10-07-2024,3.867,3.825,3.885,3.813
10-06-2024,3.825,3.828,3.828,3.823
10-04-2024,3.804,3.624,3.818,3.612
10-03-2024,3.628,3.562,3.636,3.555
10-02-2024,3.552,3.51,3.581,3.5
10-01-2024,3.509,3.555,3.567,3.471
09-30-2024,3.564,3.51,3.586,3.505
09-29-2024,3.51,3.509,3.512,3.509
09-27-2024,3.503,3.564,3.581,3.5
09-26-2024,3.565,3.529,3.579,3.498
09-25-2024,3.529,3.47,3.53,3.47
09-24-2024,3.472,3.5,3.557,3.468
09-23-2024,3.506,3.515,3.553,3.486
09-22-2024,3.5,3.5,3.5,3.5
09-20-2024,3.5,3.481,3.538,3.467
09-19-2024,3.486,3.495,3.541,3.462
09-18-2024,3.493,3.438,3.583,3.41
09-17-2024,3.443,3.409,3.455,3.393
