"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/1993","97.460","97.100","97.580","96.920","","0.25%"
"12/29/1993","97.220","95.810","97.300","95.870","4.07K","1.45%"
"12/28/1993","95.830","95.920","96.050","95.710","0.33K","-0.15%"
"12/27/1993","95.970","95.650","96.130","95.650","0.38K","0.68%"
"12/23/1993","95.320","95.850","95.900","95.300","1.30K","-0.53%"
"12/22/1993","95.830","96.350","96.390","95.810","2.11K","-0.62%"
"12/21/1993","96.430","96.570","96.540","96.300","0.48K","-0.18%"
"12/20/1993","96.600","96.500","96.790","96.530","0.32K","0.08%"
"12/17/1993","96.520","96.400","96.550","96.250","0.37K","0.03%"
"12/16/1993","96.490","96.840","96.910","96.340","1.14K","0.60%"
"12/15/1993","95.910","95.730","95.940","95.780","1.81K","0.10%"
"12/14/1993","95.810","95.450","95.850","95.450","0.94K","0.29%"
"12/13/1993","95.530","94.990","95.530","95.280","","0.49%"
"12/10/1993","95.060","95.140","95.200","94.940","0.37K","-0.30%"
"12/09/1993","95.350","95.290","95.350","95.180","0.83K","0.12%"
"12/08/1993","95.240","95.180","95.600","95.090","1.59K","0.09%"
"12/07/1993","95.150","94.970","95.380","94.970","1.24K","0.15%"
"12/06/1993","95.010","95.970","96.000","94.970","3.42K","-1.20%"
"12/03/1993","96.160","96.650","96.210","96.140","2.92K","-0.47%"
"12/02/1993","96.610","96.580","96.730","96.370","1.07K","-0.02%"
"12/01/1993","96.630","96.450","96.720","96.200","2.04K","0.21%"
"11/30/1993","96.430","96.020","96.620","95.960","2.32K","0.32%"
"11/29/1993","96.120","96.160","96.440","96.000","1.51K","0.27%"
"11/24/1993","95.860","95.940","95.960","95.530","","-0.09%"
"11/23/1993","95.950","95.960","96.430","95.600","1.96K","-0.15%"
"11/22/1993","96.090","96.320","96.400","95.760","3.03K","-0.41%"
"11/19/1993","96.490","95.960","96.560","95.950","2.89K","0.48%"
"11/18/1993","96.030","95.500","96.150","95.570","2.49K","0.57%"
"11/17/1993","95.490","95.690","96.000","95.320","3.51K","-0.19%"
"11/16/1993","95.670","95.280","96.000","95.170","5.15K","0.38%"
"11/15/1993","95.310","94.890","95.490","94.660","1.49K","0.59%"
"11/12/1993","94.750","95.400","95.770","94.620","3.81K","-0.70%"
"11/11/1993","95.420","95.150","95.520","95.100","1.42K","0.18%"
"11/10/1993","95.250","95.550","95.720","95.150","0.88K","-0.37%"
"11/09/1993","95.600","95.050","95.850","94.980","2.96K","0.63%"
"11/08/1993","95.000","95.210","95.260","94.800","2.45K","-0.27%"
"11/05/1993","95.260","95.570","95.900","95.070","2.10K","-0.39%"
"11/04/1993","95.630","95.350","95.760","95.270","2.97K","0.20%"
"11/03/1993","95.440","95.850","95.860","95.340","0.91K","-0.53%"
"11/02/1993","95.950","95.800","96.100","95.330","1.89K","0.21%"
"11/01/1993","95.750","95.680","96.070","95.590","1.28K","0.05%"
"10/29/1993","95.700","94.990","95.700","94.900","1.90K","0.76%"
"10/28/1993","94.980","95.350","96.000","94.650","6.79K","-0.41%"
