Date,Price,Open,High,Low,Vol.
08-15-2013,81.207,81.675,81.995,81.115,38.71K
08-14-2013,81.758,81.795,81.905,81.66,20.07K
08-13-2013,81.815,81.515,81.925,81.435,26.37K
08-12-2013,81.374,81.195,81.55,81.11,21.12K
08-09-2013,81.17,81.1,81.225,80.97,18.62K
08-08-2013,81.027,81.325,81.395,80.895,36.43K
08-07-2013,81.323,81.625,81.88,81.27,39.51K
08-06-2013,81.658,81.93,82.015,81.56,28.73K
08-05-2013,81.936,82.01,82.16,81.81,24.48K
08-02-2013,81.978,82.43,82.61,81.9,43.03K
08-01-2013,82.427,81.76,82.495,81.69,44.85K
07-31-2013,81.539,81.93,82.295,81.48,62.80K
07-30-2013,81.919,81.805,82.09,81.69,34.46K
07-29-2013,81.763,81.775,81.935,81.61,27.24K
07-26-2013,81.764,81.88,81.92,81.64,25.30K
07-25-2013,82.053,82.45,82.5,81.71,26.39K
07-24-2013,82.4,82.12,82.515,82.02,34.34K
07-23-2013,82.04,82.27,82.47,82.01,25.19K
07-22-2013,82.317,82.7,82.74,82.13,31.66K
07-19-2013,82.711,82.91,83.06,82.62,21.30K
07-18-2013,82.955,82.82,83.16,82.76,25.50K
07-17-2013,82.84,82.685,83.055,82.475,52.42K
07-16-2013,82.637,83.245,83.27,82.525,32.23K
07-15-2013,83.196,83.115,83.62,83.035,27.75K
07-12-2013,83.163,82.93,83.4,82.885,32.22K
07-11-2013,82.915,82.87,83.425,82.6,52.53K
07-10-2013,84.234,84.875,84.925,83.64,51.06K
07-09-2013,84.781,84.485,84.965,84.31,41.45K
07-08-2013,84.414,84.83,84.835,84.355,31.40K
07-05-2013,84.689,84.125,84.93,84.065,50.50K
07-04-2013,83.451,83.36,84.155,83.335,14.54K
07-03-2013,83.451,83.79,83.935,83.275,33.94K
07-02-2013,83.764,83.205,83.835,83.17,31.75K
07-01-2013,83.253,83.41,83.47,83.175,25.01K
06-28-2013,83.376,83.235,83.595,82.975,35.53K
06-27-2013,83.152,83.13,83.43,83.015,30.55K
06-26-2013,83.228,82.92,83.275,82.735,29.40K
06-25-2013,82.8,82.58,82.95,82.44,38.00K
06-24-2013,82.633,82.71,83.05,82.525,42.42K
06-21-2013,82.517,81.91,82.745,81.765,53.83K
06-20-2013,82.096,81.555,82.32,81.44,58.00K
06-19-2013,81.595,80.86,81.665,80.615,47.80K
06-18-2013,80.749,80.81,81.155,80.71,43.94K
06-17-2013,80.733,80.64,80.805,80.63,0.79K
06-14-2013,80.65,80.755,81,80.595,14.58K
06-13-2013,80.742,80.865,80.98,80.505,28.56K
06-12-2013,80.946,81.1,81.31,80.745,66.88K
