Date,Price,Open,High,Low,Vol.
03-07-2025,103.72,104.14,104.21,103.535,10.88K
03-06-2025,104.028,104.285,104.36,103.72,28.11K
03-05-2025,104.252,105.58,105.725,104.2,39.01K
03-04-2025,105.687,106.465,106.6,105.475,30.31K
03-03-2025,106.669,107.345,107.36,106.365,26.74K
02-28-2025,107.558,107.135,107.595,107.12,20.78K
02-27-2025,107.176,106.505,107.235,106.35,18.47K
02-26-2025,106.329,106.115,106.575,106.07,18.56K
02-25-2025,106.228,106.67,106.77,106.1,19.22K
02-24-2025,106.509,106.46,106.665,106.035,14.93K
02-21-2025,106.519,106.355,106.66,106.29,16.06K
02-20-2025,106.269,107.005,107.05,106.235,19.05K
02-19-2025,107.063,106.965,107.275,106.775,14.74K
02-18-2025,106.955,106.7,107.01,106.7,14.46K
02-17-2025,106.575,106.66,106.78,106.52,7.46K
02-14-2025,106.575,106.99,107.075,106.445,21.23K
02-13-2025,107.216,107.87,107.905,106.935,35.67K
02-12-2025,107.823,107.9,108.42,107.505,28.00K
02-11-2025,107.833,108.235,108.35,107.64,14.46K
02-10-2025,108.193,108.265,108.305,107.98,12.04K
02-07-2025,107.928,107.6,108.19,107.21,31.56K
02-06-2025,107.547,107.515,107.98,107.4,17.65K
02-05-2025,107.442,107.815,107.855,107.15,14.69K
02-04-2025,107.823,108.53,108.9,107.765,24.01K
02-03-2025,108.877,109.225,109.75,108.225,50.80K
01-31-2025,108.217,108.02,108.4,107.61,31.56K
01-30-2025,107.631,107.7,108.085,107.335,19.55K
01-29-2025,107.809,107.73,108.125,107.57,20.04K
01-28-2025,107.683,107.555,107.875,107.505,13.73K
01-27-2025,107.16,107.35,107.62,106.775,18.52K
01-24-2025,107.245,107.95,108.005,107.02,25.39K
01-23-2025,107.863,108.05,108.36,107.725,19.23K
01-22-2025,107.962,107.79,108.07,107.545,13.72K
01-21-2025,107.861,108.445,108.625,107.725,22.15K
01-20-2025,109.203,109.235,109.32,107.735,26.47K
01-17-2025,109.203,108.785,109.275,108.68,22.21K
01-16-2025,108.817,108.875,109.26,108.675,23.92K
01-15-2025,108.916,109.08,109.245,108.42,20.50K
01-14-2025,109.11,109.43,109.595,109.005,28.45K
01-13-2025,109.812,109.49,110.015,109.43,25.62K
01-10-2025,109.487,109.03,109.825,108.92,25.75K
01-09-2025,109.004,108.88,109.22,108.79,12.16K
01-08-2025,108.926,108.5,109.205,108.39,19.92K
01-07-2025,108.378,108.175,108.535,107.69,19.88K
01-06-2025,108.101,108.78,108.905,107.575,26.34K
01-03-2025,108.798,108.995,109.05,108.74,17.96K
01-02-2025,109.209,108.33,109.365,108.085,26.89K
12-31-2024,108.296,107.85,108.38,107.665,14.74K
12-30-2024,107.933,107.795,108.18,107.545,11.95K
12-27-2024,107.792,107.895,107.995,107.66,12.30K
12-26-2024,107.893,107.935,108.075,107.795,7.28K
12-24-2024,108.023,107.91,108.06,107.815,7.71K
12-23-2024,107.807,107.525,108.045,107.45,15.27K
12-20-2024,107.351,108.19,108.285,107.305,25.78K
12-19-2024,108.152,107.84,108.225,107.565,24.29K
12-18-2024,107.749,106.64,108,106.52,21.48K
12-17-2024,106.663,106.445,106.79,106.42,12.25K
12-16-2024,107.03,106.815,106.815,106.815,0.05K
12-13-2024,106.993,106.965,107.18,106.74,7.54K
12-12-2024,106.959,106.545,107.03,106.355,27.40K
12-11-2024,106.695,106.365,106.805,106.26,29.21K
12-10-2024,106.382,106.18,106.625,106.02,14.18K
12-09-2024,106.125,105.965,106.195,105.78,14.36K
12-06-2024,106.039,105.78,106.15,105.4,18.95K
12-05-2024,105.701,106.305,106.36,105.685,19.94K
12-04-2024,106.29,106.425,106.7,106.065,21.10K
12-03-2024,106.34,106.46,106.58,106.065,20.93K
12-02-2024,106.423,105.82,106.725,105.82,24.59K
11-29-2024,105.828,105.995,106.12,105.595,18.98K
11-28-2024,106.048,106.205,106.395,106.085,6.93K
11-27-2024,106.048,106.8,106.89,105.815,24.31K
11-26-2024,106.968,107.41,107.47,106.46,20.60K
11-25-2024,106.77,106.975,107.215,106.535,21.67K
11-22-2024,107.507,107.005,108.07,106.885,28.26K
11-21-2024,106.93,106.555,107.115,106.41,23.07K
11-20-2024,106.616,106.11,106.865,106.075,18.29K
11-19-2024,106.143,106.18,106.57,106.035,18.17K
11-18-2024,106.201,106.705,106.75,106.065,18.11K
11-15-2024,106.615,106.82,106.855,106.255,20.47K
11-14-2024,106.598,106.42,106.99,106.295,22.65K
11-13-2024,106.379,105.965,106.44,105.625,23.94K
11-12-2024,105.95,105.405,106.1,105.4,16.61K
11-11-2024,105.457,104.955,105.61,104.83,16.78K
11-08-2024,104.89,104.34,105.105,104.24,19.80K
11-07-2024,104.37,105.125,105.175,104.085,31.84K
11-06-2024,104.985,104.11,105.345,103.96,52.56K
11-05-2024,103.324,103.82,103.87,103.285,11.33K
11-04-2024,103.79,103.78,103.89,103.495,14.67K
11-01-2024,104.203,103.8,104.265,103.445,21.85K
10-31-2024,103.878,104,104.11,103.705,27.93K
10-30-2024,103.862,104.125,104.32,103.85,24.45K
10-29-2024,104.191,104.13,104.515,104.09,21.33K
