Date,Price,Open,High,Low,Vol.
03-12-2014,"21,080.00","21,095.00","21,121.50","21,087.50",
03-11-2014,"21,080.00","21,095.00","21,106.00","21,087.50",
03-10-2014,"21,080.00","21,100.00","21,105.00","21,092.50",
03-07-2014,"21,080.00","21,095.00","21,105.00","21,092.50",
03-06-2014,"21,080.00","21,097.50","21,107.50","21,095.00",
03-05-2014,"21,080.00","21,097.50","21,122.50","21,090.00",
03-04-2014,"21,080.00","21,097.50","21,107.50","21,092.50",
03-03-2014,"21,085.00","21,097.50","21,122.50","21,090.00",
02-28-2014,"21,080.00","21,097.50","21,122.50","21,090.00",
02-27-2014,"21,080.00","21,097.50","21,107.50","21,092.50",
02-26-2014,"21,080.00","21,097.50","21,122.50","21,090.00",
02-25-2014,"21,085.00","21,102.50","21,122.50","21,090.00",
02-24-2014,"21,085.00","21,107.50","21,122.50","21,090.00",
02-21-2014,"21,085.00","21,097.50","21,110.00","21,095.00",
02-20-2014,"21,080.00","21,097.50","21,106.00","21,092.50",
02-19-2014,"21,080.00","21,097.50","21,106.00","21,092.50",
02-18-2014,"21,080.00","21,097.50","21,107.50","21,092.50",
02-17-2014,"21,080.00","21,097.50","21,107.50","21,095.00",
02-14-2014,"21,070.00","21,097.50","21,106.00","21,092.50",
02-13-2014,"21,085.00","21,107.50","21,115.00","21,097.50",
02-12-2014,"21,080.00","21,107.50","21,117.50","21,097.50",
02-11-2014,"21,090.00","21,105.00","21,115.00","21,100.00",
02-10-2014,"21,085.00","21,107.50","21,125.00","21,090.00",
02-07-2014,"21,085.00","21,107.50","21,112.50","21,097.50",
02-06-2014,"21,080.00","21,097.50","21,110.00","21,082.50",
02-05-2014,"21,075.00","21,110.00","21,110.00","21,110.00",
02-04-2014,"21,035.00","21,035.00","21,035.00","21,035.00",
02-03-2014,"21,035.00","21,035.00","21,035.00","21,035.00",
01-31-2014,"21,035.00","21,035.00","21,035.00","21,035.00",
01-30-2014,"21,035.00","21,035.00","21,035.00","21,035.00",
01-29-2014,"21,035.00","21,035.00","21,035.00","21,035.00",
01-28-2014,"21,035.00","21,035.00","21,035.00","21,035.00",
01-27-2014,"21,035.00","21,062.50","21,080.00","21,060.00",
01-24-2014,"21,060.00","21,082.50","21,115.00","21,070.00",
01-23-2014,"21,065.00","21,092.50","21,095.00","21,075.00",
01-22-2014,"21,070.00","21,092.50","21,102.50","21,085.00",
01-21-2014,"21,075.00","21,110.00","21,120.00","21,085.00",
01-20-2014,"21,070.00","21,092.50","21,120.00","21,085.00",
01-17-2014,"21,070.00","21,092.50","21,115.00","21,085.00",
01-16-2014,"21,080.00","21,090.00","21,120.00","21,085.00",
01-15-2014,"21,070.00","21,097.50","21,117.50","21,085.00",
01-14-2014,"21,072.00","21,090.00","21,097.50","21,085.00",
01-13-2014,"21,060.00","21,092.50","21,117.50","21,082.50",
01-10-2014,"21,072.00","21,087.50","21,096.00","21,082.50",
01-09-2014,"21,075.00","21,095.00","21,103.50","21,087.50",
01-08-2014,"21,080.00","21,092.50","21,120.00","21,085.00",
01-07-2014,"21,075.00","21,092.50","21,120.00","21,085.00",
01-06-2014,"21,080.00","21,092.50","21,120.00","21,085.00",
01-03-2014,"21,075.00","21,092.50","21,105.00","21,087.50",
01-02-2014,"21,060.00","21,107.50","21,122.50","21,085.00",
01-01-2014,"21,075.00","21,075.00","21,075.00","21,075.00",
12-31-2013,"21,075.00","21,107.50","21,125.00","21,087.50",
12-30-2013,"21,080.00","21,095.00","21,122.50","21,085.00",
12-27-2013,"21,070.00","21,092.50","21,117.50","21,085.00",
12-26-2013,"21,075.00","21,095.00","21,117.50","21,085.00",
12-25-2013,"21,075.00","21,092.50","21,117.50","21,085.00",
12-24-2013,"21,082.00","21,092.50","21,121.00","21,085.00",
12-23-2013,"21,090.00","21,097.50","21,125.00","21,090.00",
12-20-2013,"21,085.00","21,102.50","21,122.50","21,090.00",
12-19-2013,"21,085.00","21,100.00","21,122.50","21,090.00",
12-18-2013,"21,085.00","21,107.50","21,130.00","21,090.00",
12-17-2013,"21,100.00","21,107.50","21,130.00","21,092.50",
12-16-2013,"21,090.00","21,110.00","21,127.50","21,092.50",
12-13-2013,"21,092.00","21,107.50","21,126.00","21,092.50",
12-12-2013,"21,085.00","21,107.50","21,125.00","21,092.50",
12-11-2013,"21,090.00","21,112.50","21,127.50","21,095.00",
12-10-2013,"21,100.00","21,117.50","21,130.00","21,095.00",
12-09-2013,"21,100.00","21,140.00","21,152.50","21,100.00",
12-06-2013,"21,120.00","21,142.50","21,165.00","21,107.50",
12-05-2013,"21,120.00","21,117.50","21,140.00","21,097.50",
12-04-2013,"21,100.00","21,117.50","21,130.00","21,095.00",
12-03-2013,"21,100.00","21,107.50","21,130.00","21,092.50",
12-02-2013,"21,080.00","21,100.00","21,125.00","21,090.00",
11-29-2013,"21,090.00","21,102.50","21,125.00","21,090.00",
11-28-2013,"21,090.00","21,117.50","21,130.00","21,095.00",
11-27-2013,"21,097.00","21,117.50","21,130.00","21,095.00",
11-26-2013,"21,080.00","21,102.50","21,123.50","21,090.00",
11-25-2013,"21,080.00","21,097.50","21,122.50","21,087.50",
11-22-2013,"21,080.00","21,097.50","21,123.50","21,085.00",
11-21-2013,"21,080.00","21,097.50","21,120.00","21,085.00",
11-20-2013,"21,080.00","21,097.50","21,122.50","21,085.00",
11-19-2013,"21,085.00","21,097.50","21,123.50","21,085.00",
11-18-2013,"21,085.00","21,100.00","21,123.50","21,085.00",
11-15-2013,"21,080.00","21,100.00","21,123.50","21,090.00",
11-14-2013,"21,090.00","21,102.50","21,125.00","21,090.00",
