Date,Price,Open,High,Low,Vol.
03-07-2025,"25,505.00","25,444.00","25,540.00","25,449.00",
03-06-2025,"25,485.00","25,450.00","25,516.50","25,430.00",
03-05-2025,"25,490.00","25,515.00","25,586.00","25,495.00",
03-04-2025,"25,540.00","25,580.00","25,596.50","25,555.00",
03-03-2025,"25,575.00","25,554.00","25,617.50","25,548.00",
02-28-2025,"25,530.00","25,553.50","25,573.00","25,540.00",
02-27-2025,"25,520.00","25,551.50","25,566.00","25,489.50",
02-26-2025,"25,535.00","25,482.50","25,572.50","25,482.50",
02-25-2025,"25,520.00","25,470.00","25,537.50","25,466.00",
02-24-2025,"25,468.00","25,485.00","25,535.00","25,468.50",
02-21-2025,"25,510.00","25,480.00","25,545.00","25,475.00",
02-20-2025,"25,500.00","25,525.00","25,574.50","25,515.00",
02-19-2025,"25,515.00","25,530.00","25,574.50","25,500.00",
02-18-2025,"25,500.00","25,510.00","25,580.00","25,425.00",
02-17-2025,"25,470.00","25,390.00","25,482.50","25,390.00",
02-14-2025,"25,370.00","25,415.00","25,460.50","25,385.00",
02-13-2025,"25,440.00","25,535.00","25,535.00","25,400.00",
02-12-2025,"25,550.00","25,490.00","25,607.00","25,490.00",
02-11-2025,"25,530.00","25,420.00","25,540.00","25,420.00",
02-10-2025,"25,380.00","25,375.00","25,405.00","25,367.50",
02-07-2025,"25,290.00","25,340.00","25,342.50","25,282.50",
02-06-2025,"25,260.00","25,165.00","25,275.00","25,147.50",
02-05-2025,"25,145.00","25,195.00","25,195.00","25,115.00",
02-04-2025,"25,160.00","25,280.00","25,282.50","25,160.00",
02-03-2025,"25,280.00","25,025.00","25,355.00","25,025.00",
01-31-2025,"25,060.00","25,060.00","25,060.00","25,060.00",
01-30-2025,"25,060.00","25,060.00","25,060.00","25,060.00",
01-29-2025,"25,060.00","25,060.00","25,060.00","25,060.00",
01-28-2025,"25,060.00","25,060.00","25,060.00","25,060.00",
01-27-2025,"25,060.00","25,060.00","25,060.00","25,060.00",
01-24-2025,"25,060.00","25,130.00","25,142.50","25,025.00",
01-23-2025,"25,080.00","25,050.00","25,157.50","25,005.00",
01-22-2025,"25,050.00","25,255.00","25,270.00","25,075.00",
01-21-2025,"25,260.00","25,295.00","25,315.00","25,245.00",
01-20-2025,"25,315.00","25,330.00","25,380.50","25,280.00",
01-17-2025,"25,315.00","25,355.00","25,385.00","25,318.50",
