russell2000,dow_jones,msci_world,nasdaq100,s_p500,gold
1536.82,25673.46,2078.7,7112.47,994.8,1287.6
1523.63,25473.232,2061.4,7026.88,994.8,1286.1
1521.88,25450.24,2051.1,7015.69,994.8,1299.3
1521.88,25450.24,2051.1,7015.69,994.8,1299.3
1521.88,25450.24,2051.1,7015.69,994.8,1299.3
1548.88,25650.88,2074.7,7164.02,994.8,1291.1
1549.83,25554.658,2083.4,7201.28,994.8,1298.1
1555.88,25702.89,2095.7,7256.98,994.8,1309.3
1549.64,25709.938,2096.3,7243.01,994.8,1295.1
1553.54,25848.87,2108.8,7306.9907,994.8,1302.9
1553.54,25848.87,2108.8,7306.9907,994.8,1302.9
1553.54,25848.87,2108.8,7306.9907,994.8,1302.9
1563.93,25914.1,2118.0,7326.28,994.8,1301.5
1554.9899,25887.383,2121.5,7349.28,994.8,1306.5
1543.16,25745.67,2112.1,7380.7495,994.8,1301.7
1562.41,25962.51,2127.9,7493.2705,994.8,1307.3
1505.92,25502.32,2094.8,7326.0596,994.8,1312.3
1505.92,25502.32,2094.8,7326.0596,994.8,1312.3
1505.92,25502.32,2094.8,7326.0596,994.8,1312.3
1512.86,25516.83,2087.1,7316.96,994.8,1322.6
1528.17,25657.732,2102.6,7351.15,994.8,1315.0
1522.23,25625.59,2094.0,7308.1895,994.8,1310.4
1535.1,25717.46,2095.2,7320.4707,994.8,1292.5
1539.7401,25928.682,2107.7,7378.7695,994.8,1295.6
1539.7401,25928.682,2107.7,7378.7695,994.8,1295.6
1539.7401,25928.682,2107.7,7378.7695,994.8,1295.6
1556.06,26258.418,2131.8,7478.42,994.8,1291.2
1553.3201,26179.13,2131.7,7499.64,994.8,1292.5
1560.9099,26218.13,2143.0,7544.97,994.8,1292.3
1567.49,26384.63,2142.8,7540.57,994.8,1291.4
1582.56,26424.99,2149.9,7578.8394,994.8,1292.6
1582.56,26424.99,2149.9,7578.8394,994.8,1292.6
1582.56,26424.99,2149.9,7578.8394,994.8,1292.6
1579.0,26341.02,2152.9,7599.7407,994.8,1298.8
1559.68,26150.582,2143.2,7568.4897,994.8,1305.1
1581.5502,26157.16,2148.0,7611.49,994.8,1310.3
1579.14,26143.05,2147.6,7594.89,994.8,1290.5
1584.8002,26412.3,2159.4,7628.15,994.8,1292.2
1584.8002,26412.3,2159.4,7628.15,994.8,1292.2
1584.8002,26412.3,2159.4,7628.15,994.8,1292.2
1579.17,26384.77,2161.1,7629.12,994.8,1288.5
1582.79,26452.658,2163.1,7654.73,994.8,1274.2
1567.6,26449.54,2160.9,7680.7207,994.8,1273.8
1565.75,26559.54,2160.2,7689.7207,994.8,1273.1
1565.75,26559.54,2160.2,7689.7207,994.8,1273.1
1565.75,26559.54,2160.2,7689.7207,994.8,1273.1
1565.75,26559.54,2160.2,7689.7207,994.8,1273.1
1560.04,26511.05,2161.6,7713.4907,994.8,1274.7
1585.09,26656.389,2174.4,7810.7095,994.8,1270.6
1588.1299,26597.049,2168.8,7784.41,994.8,1276.6
1575.61,26462.08,2165.4,7816.9204,994.8,1276.4
1589.9001,26543.33,2173.8,7826.6807,994.8,1285.5
1589.9001,26543.33,2173.8,7826.6807,994.8,1285.5
1589.9001,26543.33,2173.8,7826.6807,994.8,1285.5
1598.36,26554.39,2175.6,7839.04,994.8,1281.5
1591.21,26592.91,2178.7,7781.4595,994.8,1285.7
1576.38,26430.14,2170.0,7751.8506,994.8,1284.2
1582.65,26307.79,2161.1,7724.06,994.8,1272.0
1614.02,26504.951,2177.8,7845.7295,994.8,1281.3
1614.02,26504.951,2177.8,7845.7295,994.8,1281.3
1614.02,26504.951,2177.8,7845.7295,994.8,1281.3
1614.98,26438.48,2166.7,7794.09,994.8,1283.8
1582.3099,25965.09,2135.5,7640.1494,994.8,1285.6
1574.97,25967.328,2131.9,7617.55,994.8,1281.4
1570.06,25828.36,2119.3,7582.75,994.8,1285.2
1572.99,25942.37,2126.3,7586.53,994.8,1287.4
1572.99,25942.37,2126.3,7586.53,994.8,1287.4
1572.99,25942.37,2126.3,7586.53,994.8,1287.4
1523.0,25324.988,2086.5,7324.13,994.8,1301.8
1543.06,25532.05,2098.8,7401.88,994.8,1296.3
1548.2699,25648.02,2110.4,7503.2505,994.8,1297.8
1557.24,25862.68,2126.1,7580.1396,994.8,1286.2
1535.7599,25764.002,2116.5,7503.6807,994.8,1275.7
1535.7599,25764.002,2116.5,7503.6807,994.8,1275.7
