gold,us_2_year_bond,us_3_month_bond,us_5_year_bond,us_10_year_bond
2956.3413,4.2684116,4.3130302,4.3438177,4.5054436
2953.2048,4.198898,4.3049397,4.270323,4.42998
2953.1975,4.1990395,4.3050146,4.2699184,4.4300036
2953.201,4.198987,4.3049965,4.2700233,4.4299994
2949.6995,4.1700044,4.2910004,4.233993,4.399
2906.0,4.0979986,4.2919993,4.130002,4.297
2917.8003,4.073,4.3,4.0829997,4.254
2895.9001,4.051,4.301,4.078,4.265
2848.5,3.985,4.299,4.01,4.202
2848.5,3.985,4.299,4.01,4.202
2848.5,3.985,4.299,4.01,4.202
2901.1,3.957,4.299,3.966,4.158
2920.6003,3.982,4.316,4.041,4.241
2926.0002,4.006,4.312,4.075,4.279
2926.6,3.964,4.301,4.058,4.279
