,Date,Price,Open,High,Low
0,1983-03-31,29.27,29.4,29.6,29.25
1,1983-04-01,29.27,29.4,29.6,29.25
2,1983-04-02,29.27,29.4,29.6,29.25
3,1983-04-03,29.27,29.4,29.6,29.25
4,1983-04-04,29.44,29.3,29.7,29.29
5,1983-04-05,29.71,29.5,29.8,29.5
6,1983-04-06,29.9,29.9,29.92,29.65
7,1983-04-07,30.17,29.92,30.2,29.86
8,1983-04-08,30.38,30.65,30.65,30.25
9,1983-04-09,30.38,30.65,30.65,30.25
10,1983-04-10,30.38,30.65,30.65,30.25
11,1983-04-11,30.25,30.4,30.41,30.0
12,1983-04-12,30.83,30.5,31.0,30.5
13,1983-04-13,30.82,30.6,30.95,30.6
14,1983-04-14,30.82,30.7,30.86,30.65
15,1983-04-15,30.48,30.57,30.6,30.35
16,1983-04-16,30.48,30.57,30.6,30.35
17,1983-04-17,30.48,30.57,30.6,30.35
18,1983-04-18,30.75,30.56,30.8,30.55
19,1983-04-19,30.75,30.7,30.85,30.7
20,1983-04-20,30.7,30.65,30.77,30.6
21,1983-04-21,30.68,30.75,30.75,30.58
22,1983-04-22,30.75,30.62,30.85,30.62
23,1983-04-23,30.75,30.62,30.85,30.62
24,1983-04-24,30.75,30.62,30.85,30.62
25,1983-04-25,30.84,30.78,30.89,30.78
26,1983-04-26,30.71,30.81,30.85,30.69
27,1983-04-27,30.78,30.8,30.82,30.78
28,1983-04-28,30.74,30.73,30.9,30.68
29,1983-04-29,30.63,30.7,30.74,30.63
30,1983-04-30,30.63,30.7,30.74,30.63
31,1983-05-01,30.63,30.7,30.74,30.63
32,1983-05-02,30.61,30.66,30.72,30.57
33,1983-05-03,30.5,30.7,30.7,30.45
34,1983-05-04,30.42,30.5,30.55,30.39
35,1983-05-05,30.2,30.47,30.47,30.2
36,1983-05-06,30.12,30.4,30.43,29.95
37,1983-05-07,30.12,30.4,30.43,29.95
38,1983-05-08,30.12,30.4,30.43,29.95
39,1983-05-09,30.1,30.43,30.43,29.95
40,1983-05-10,30.31,30.1,30.4,30.1
41,1983-05-11,29.97,30.15,30.15,29.95
42,1983-05-12,29.72,29.75,29.85,29.64
43,1983-05-13,29.8,29.65,29.8,29.53
44,1983-05-14,29.8,29.65,29.8,29.53
45,1983-05-15,29.8,29.65,29.8,29.53
46,1983-05-16,30.12,29.87,30.12,29.85
47,1983-05-17,29.91,30.0,30.2,29.9
48,1983-05-18,29.75,29.78,29.78,29.25
49,1983-05-19,29.95,29.91,30.0,29.91
50,1983-05-20,30.3,30.1,30.66,30.1
51,1983-05-21,30.3,30.1,30.66,30.1
52,1983-05-22,30.3,30.1,30.66,30.1
53,1983-05-23,30.27,30.25,30.5,30.25
54,1983-05-24,30.05,30.05,30.07,29.95
55,1983-05-25,30.25,29.95,30.25,29.95
56,1983-05-26,30.31,30.3,30.5,30.3
57,1983-05-27,30.19,30.25,30.48,30.15
58,1983-05-28,30.19,30.25,30.48,30.15
59,1983-05-29,30.19,30.25,30.48,30.15
60,1983-05-30,30.19,30.25,30.48,30.15
61,1983-05-31,30.25,30.05,30.45,30.05
62,1983-06-01,30.33,30.35,30.35,30.2
63,1983-06-02,30.4,30.45,30.45,30.4
64,1983-06-03,30.36,30.35,30.45,30.3
