,Date,Price,Open,High,Low
0,1985-11-21,127.56,127.83,128.03,127.48
1,1985-11-22,126.63,127.53,127.68,126.58
2,1985-11-23,126.63,127.53,127.68,126.58
3,1985-11-24,126.63,127.53,127.68,126.58
4,1985-11-25,126.64,126.91,126.91,126.43
5,1985-11-26,126.17,126.94,126.98,125.85
6,1985-11-27,126.16,126.26,126.55,125.73
7,1985-11-28,126.16,126.26,126.55,125.73
8,1985-11-29,125.18,125.25,125.46,124.93
9,1985-11-30,125.18,125.25,125.46,124.93
10,1985-12-01,125.18,125.25,125.46,124.93
11,1985-12-02,125.58,124.8,125.8,124.69
12,1985-12-03,126.04,126.29,126.55,125.91
13,1985-12-04,125.44,125.51,125.66,125.32
14,1985-12-05,125.52,126.09,126.17,125.45
15,1985-12-06,126.08,125.83,126.3,125.69
16,1985-12-07,126.08,125.83,126.3,125.69
17,1985-12-08,126.08,125.83,126.3,125.69
18,1985-12-09,126.52,126.3,126.77,126.21
19,1985-12-10,127.03,126.89,127.22,126.78
20,1985-12-11,127.09,127.7,128.18,126.95
21,1985-12-12,126.58,126.55,126.75,126.08
22,1985-12-13,126.75,126.28,126.75,126.11
23,1985-12-14,126.75,126.28,126.75,126.11
24,1985-12-15,126.75,126.28,126.75,126.11
25,1985-12-16,126.08,126.71,126.83,125.91
26,1985-12-17,126.23,126.05,126.27,125.64
27,1985-12-18,127.13,126.63,127.2,126.6
28,1985-12-19,126.62,126.95,127.05,126.45
29,1985-12-20,126.44,126.71,126.94,126.26
30,1985-12-21,126.44,126.71,126.94,126.26
31,1985-12-22,126.44,126.71,126.94,126.26
32,1985-12-23,126.25,126.5,126.62,126.05
33,1985-12-24,126.04,126.3,126.32,126.0
34,1985-12-25,126.04,126.3,126.32,126.0
35,1985-12-26,126.07,126.15,126.23,125.8
36,1985-12-27,124.58,125.23,125.44,124.34
37,1985-12-28,124.58,125.23,125.44,124.34
38,1985-12-29,124.58,125.23,125.44,124.34
39,1985-12-30,124.25,124.43,124.6,123.99
40,1985-12-31,123.55,124.0,124.02,123.5
41,1986-01-01,123.55,124.0,124.02,123.5
42,1986-01-02,123.11,123.63,124.06,122.99
43,1986-01-03,124.77,124.75,124.9,124.25
44,1986-01-04,124.77,124.75,124.9,124.25
45,1986-01-05,124.77,124.75,124.9,124.25
46,1986-01-06,124.13,124.88,124.9,124.05
47,1986-01-07,123.89,124.15,124.15,123.5
48,1986-01-08,124.93,123.87,125.1,123.87
49,1986-01-09,123.25,124.9,125.36,122.85
50,1986-01-10,124.53,124.13,124.9,123.6
51,1986-01-11,124.53,124.13,124.9,123.6
52,1986-01-12,124.53,124.13,124.9,123.6
53,1986-01-13,124.89,125.1,125.62,124.47
54,1986-01-14,125.18,125.05,125.3,124.68
55,1986-01-15,124.5,125.0,125.0,124.35
56,1986-01-16,124.83,124.25,124.98,124.22
57,1986-01-17,124.93,124.82,124.95,124.4
58,1986-01-18,124.93,124.82,124.95,124.4
59,1986-01-19,124.93,124.82,124.95,124.4
