,Date,Price,Open,High,Low
0,1995-01-02,11042.0,11042.0,11042.0,11042.0
1,1995-01-03,11042.0,11042.0,11042.0,11042.0
2,1995-01-04,11040.0,11040.0,11040.0,11040.0
3,1995-01-05,11040.0,11040.0,11040.0,11040.0
4,1995-01-06,11035.0,11035.0,11035.0,11035.0
5,1995-01-07,11035.0,11035.0,11035.0,11035.0
6,1995-01-08,11035.0,11035.0,11035.0,11035.0
7,1995-01-09,11035.0,11035.0,11035.0,11035.0
8,1995-01-10,11040.0,11040.0,11040.0,11040.0
9,1995-01-11,11045.0,11045.0,11045.0,11045.0
10,1995-01-12,11048.0,11048.0,11048.0,11048.0
11,1995-01-13,11046.0,11046.0,11046.0,11046.0
12,1995-01-14,11046.0,11046.0,11046.0,11046.0
13,1995-01-15,11046.0,11046.0,11046.0,11046.0
14,1995-01-16,11046.0,11046.0,11046.0,11046.0
15,1995-01-17,11046.0,11046.0,11046.0,11046.0
16,1995-01-18,11046.0,11046.0,11046.0,11046.0
17,1995-01-19,11044.0,11044.0,11044.0,11044.0
18,1995-01-20,11043.0,11043.0,11043.0,11043.0
19,1995-01-21,11043.0,11043.0,11043.0,11043.0
20,1995-01-22,11043.0,11043.0,11043.0,11043.0
21,1995-01-23,11040.0,11040.0,11040.0,11040.0
22,1995-01-24,11040.0,11040.0,11040.0,11040.0
23,1995-01-25,11040.0,11040.0,11040.0,11040.0
24,1995-01-26,11042.0,11042.0,11042.0,11042.0
25,1995-01-27,11039.0,11039.0,11039.0,11039.0
26,1995-01-28,11039.0,11039.0,11039.0,11039.0
27,1995-01-29,11039.0,11039.0,11039.0,11039.0
28,1995-01-30,11039.0,11039.0,11039.0,11039.0
29,1995-01-31,11039.0,11039.0,11039.0,11039.0
30,1995-02-01,11039.0,11039.0,11039.0,11039.0
31,1995-02-02,11039.0,11039.0,11039.0,11039.0
32,1995-02-03,11044.0,11044.0,11044.0,11044.0
33,1995-02-04,11044.0,11044.0,11044.0,11044.0
34,1995-02-05,11044.0,11044.0,11044.0,11044.0
35,1995-02-06,11041.0,11041.0,11041.0,11041.0
36,1995-02-07,11041.0,11041.0,11041.0,11041.0
37,1995-02-08,11041.0,11041.0,11041.0,11041.0
38,1995-02-09,11041.0,11041.0,11041.0,11041.0
39,1995-02-10,11041.0,11041.0,11041.0,11041.0
40,1995-02-11,11041.0,11041.0,11041.0,11041.0
41,1995-02-12,11041.0,11041.0,11041.0,11041.0
42,1995-02-13,11047.0,11047.0,11047.0,11047.0
43,1995-02-14,11047.0,11047.0,11047.0,11047.0
44,1995-02-15,11047.0,11047.0,11047.0,11047.0
45,1995-02-16,11047.0,11047.0,11047.0,11047.0
46,1995-02-17,11047.0,11047.0,11047.0,11047.0
47,1995-02-18,11047.0,11047.0,11047.0,11047.0
48,1995-02-19,11047.0,11047.0,11047.0,11047.0
49,1995-02-20,11047.0,11047.0,11047.0,11047.0
50,1995-02-21,11047.0,11047.0,11047.0,11047.0
51,1995-02-22,11047.0,11047.0,11047.0,11047.0
52,1995-02-23,11047.0,11047.0,11047.0,11047.0
53,1995-02-24,11047.0,11047.0,11047.0,11047.0
54,1995-02-25,11047.0,11047.0,11047.0,11047.0
55,1995-02-26,11047.0,11047.0,11047.0,11047.0
56,1995-02-27,11047.0,11047.0,11047.0,11047.0
57,1995-02-28,11050.0,11050.0,11050.0,11050.0
58,1995-03-01,11050.0,11050.0,11050.0,11050.0
59,1995-03-02,11050.0,11050.0,11050.0,11050.0
60,1995-03-03,11050.0,11050.0,11050.0,11050.0
61,1995-03-04,11050.0,11050.0,11050.0,11050.0
62,1995-03-05,11050.0,11050.0,11050.0,11050.0
63,1995-03-06,11055.0,11055.0,11055.0,11055.0
64,1995-03-07,11055.0,11055.0,11055.0,11055.0
65,1995-03-08,11055.0,11055.0,11055.0,11055.0
66,1995-03-09,11052.0,11052.0,11052.0,11052.0
67,1995-03-10,11048.0,11048.0,11048.0,11048.0
68,1995-03-11,11048.0,11048.0,11048.0,11048.0
69,1995-03-12,11048.0,11048.0,11048.0,11048.0
70,1995-03-13,11048.0,11048.0,11048.0,11048.0
71,1995-03-14,11048.0,11048.0,11048.0,11048.0
72,1995-03-15,11049.0,11049.0,11049.0,11049.0
73,1995-03-16,11049.0,11049.0,11049.0,11049.0
74,1995-03-17,11046.0,11046.0,11046.0,11046.0
75,1995-03-18,11046.0,11046.0,11046.0,11046.0
76,1995-03-19,11046.0,11046.0,11046.0,11046.0
77,1995-03-20,11045.0,11045.0,11045.0,11045.0
78,1995-03-21,11044.0,11044.0,11044.0,11044.0
79,1995-03-22,11044.0,11044.0,11044.0,11044.0
80,1995-03-23,11044.0,11044.0,11044.0,11044.0
81,1995-03-24,11044.0,11044.0,11044.0,11044.0
82,1995-03-25,11044.0,11044.0,11044.0,11044.0
83,1995-03-26,11044.0,11044.0,11044.0,11044.0
84,1995-03-27,11044.0,11044.0,11044.0,11044.0
85,1995-03-28,11045.0,11045.0,11045.0,11045.0
86,1995-03-29,11045.0,11045.0,11045.0,11045.0
87,1995-03-30,11045.0,11045.0,11045.0,11045.0
88,1995-03-31,11045.0,11045.0,11045.0,11045.0
89,1995-04-01,11045.0,11045.0,11045.0,11045.0
90,1995-04-02,11045.0,11045.0,11045.0,11045.0
91,1995-04-03,11044.0,11044.0,11044.0,11044.0
92,1995-04-04,11044.0,11044.0,11044.0,11044.0
93,1995-04-05,11044.0,11044.0,11044.0,11044.0
94,1995-04-06,11044.0,11044.0,11044.0,11044.0
95,1995-04-07,11044.0,11044.0,11044.0,11044.0
96,1995-04-08,11044.0,11044.0,11044.0,11044.0
97,1995-04-09,11044.0,11044.0,11044.0,11044.0
98,1995-04-10,11044.0,11044.0,11044.0,11044.0
99,1995-04-11,11044.0,11044.0,11044.0,11044.0
100,1995-04-12,11044.0,11044.0,11044.0,11044.0
101,1995-04-13,11044.0,11044.0,11044.0,11044.0
102,1995-04-14,11044.0,11044.0,11044.0,11044.0
103,1995-04-15,11044.0,11044.0,11044.0,11044.0
104,1995-04-16,11044.0,11044.0,11044.0,11044.0
105,1995-04-17,11042.0,11042.0,11042.0,11042.0
106,1995-04-18,11042.0,11042.0,11042.0,11042.0
107,1995-04-19,11042.0,11042.0,11042.0,11042.0
108,1995-04-20,11041.0,11041.0,11041.0,11041.0
109,1995-04-21,11041.0,11041.0,11041.0,11041.0
110,1995-04-22,11041.0,11041.0,11041.0,11041.0
111,1995-04-23,11041.0,11041.0,11041.0,11041.0
112,1995-04-24,11041.0,11041.0,11041.0,11041.0
113,1995-04-25,11041.0,11041.0,11041.0,11041.0
114,1995-04-26,11041.0,11041.0,11041.0,11041.0
115,1995-04-27,11041.0,11041.0,11041.0,11041.0
116,1995-04-28,11041.0,11041.0,11041.0,11041.0
117,1995-04-29,11041.0,11041.0,11041.0,11041.0
118,1995-04-30,11041.0,11041.0,11041.0,11041.0
119,1995-05-01,11041.0,11041.0,11041.0,11041.0
120,1995-05-02,11041.0,11041.0,11041.0,11041.0
121,1995-05-03,11041.0,11041.0,11041.0,11041.0
122,1995-05-04,11041.0,11041.0,11041.0,11041.0
123,1995-05-05,11041.0,11041.0,11041.0,11041.0
124,1995-05-06,11041.0,11041.0,11041.0,11041.0
125,1995-05-07,11041.0,11041.0,11041.0,11041.0
126,1995-05-08,11041.0,11041.0,11041.0,11041.0
127,1995-05-09,11040.0,11040.0,11040.0,11040.0
128,1995-05-10,11040.0,11040.0,11040.0,11040.0
129,1995-05-11,11040.0,11040.0,11040.0,11040.0
130,1995-05-12,11045.0,11045.0,11045.0,11045.0
131,1995-05-13,11045.0,11045.0,11045.0,11045.0
132,1995-05-14,11045.0,11045.0,11045.0,11045.0
133,1995-05-15,11045.0,11045.0,11045.0,11045.0
134,1995-05-16,11045.0,11045.0,11045.0,11045.0
135,1995-05-17,11045.0,11045.0,11045.0,11045.0
136,1995-05-18,11045.0,11045.0,11045.0,11045.0
137,1995-05-19,11045.0,11045.0,11045.0,11045.0
138,1995-05-20,11045.0,11045.0,11045.0,11045.0
139,1995-05-21,11045.0,11045.0,11045.0,11045.0
140,1995-05-22,11045.0,11045.0,11045.0,11045.0
141,1995-05-23,11045.0,11045.0,11045.0,11045.0
142,1995-05-24,11045.0,11045.0,11045.0,11045.0
143,1995-05-25,11045.0,11045.0,11045.0,11045.0
144,1995-05-26,11045.0,11045.0,11045.0,11045.0
145,1995-05-27,11045.0,11045.0,11045.0,11045.0
146,1995-05-28,11045.0,11045.0,11045.0,11045.0
147,1995-05-29,11045.0,11045.0,11045.0,11045.0
148,1995-05-30,11045.0,11045.0,11045.0,11045.0
149,1995-05-31,11045.0,11045.0,11045.0,11045.0
150,1995-06-01,11045.0,11045.0,11045.0,11045.0
151,1995-06-02,11045.0,11045.0,11045.0,11045.0
152,1995-06-03,11045.0,11045.0,11045.0,11045.0
153,1995-06-04,11045.0,11045.0,11045.0,11045.0
154,1995-06-05,11045.0,11045.0,11045.0,11045.0
155,1995-06-06,11045.0,11045.0,11045.0,11045.0
156,1995-06-07,11045.0,11045.0,11045.0,11045.0
157,1995-06-08,11045.0,11045.0,11045.0,11045.0
158,1995-06-09,11045.0,11045.0,11045.0,11045.0
159,1995-06-10,11045.0,11045.0,11045.0,11045.0
160,1995-06-11,11045.0,11045.0,11045.0,11045.0
161,1995-06-12,11045.0,11045.0,11045.0,11045.0
162,1995-06-13,11045.0,11045.0,11045.0,11045.0
163,1995-06-14,11045.0,11045.0,11045.0,11045.0
164,1995-06-15,11045.0,11045.0,11045.0,11045.0
165,1995-06-16,11045.0,11045.0,11045.0,11045.0
166,1995-06-17,11045.0,11045.0,11045.0,11045.0
167,1995-06-18,11045.0,11045.0,11045.0,11045.0
168,1995-06-19,11045.0,11045.0,11045.0,11045.0
169,1995-06-20,11045.0,11045.0,11045.0,11045.0
170,1995-06-21,11045.0,11045.0,11045.0,11045.0
171,1995-06-22,11042.0,11042.0,11042.0,11042.0
172,1995-06-23,11040.0,11040.0,11040.0,11040.0
173,1995-06-24,11040.0,11040.0,11040.0,11040.0
174,1995-06-25,11040.0,11040.0,11040.0,11040.0
175,1995-06-26,11040.0,11040.0,11040.0,11040.0
176,1995-06-27,11040.0,11040.0,11040.0,11040.0
177,1995-06-28,11040.0,11040.0,11040.0,11040.0
178,1995-06-29,11040.0,11040.0,11040.0,11040.0
179,1995-06-30,11040.0,11040.0,11040.0,11040.0
180,1995-07-01,11040.0,11040.0,11040.0,11040.0
181,1995-07-02,11040.0,11040.0,11040.0,11040.0
182,1995-07-03,11040.0,11040.0,11040.0,11040.0
183,1995-07-04,11040.0,11040.0,11040.0,11040.0
184,1995-07-05,11040.0,11040.0,11040.0,11040.0
185,1995-07-06,11040.0,11040.0,11040.0,11040.0
186,1995-07-07,11035.0,11035.0,11035.0,11035.0
187,1995-07-08,11035.0,11035.0,11035.0,11035.0
188,1995-07-09,11035.0,11035.0,11035.0,11035.0
189,1995-07-10,11035.0,11035.0,11035.0,11035.0
190,1995-07-11,11035.0,11035.0,11035.0,11035.0
191,1995-07-12,11035.0,11035.0,11035.0,11035.0
192,1995-07-13,11035.0,11035.0,11035.0,11035.0
193,1995-07-14,11035.0,11035.0,11035.0,11035.0
194,1995-07-15,11035.0,11035.0,11035.0,11035.0
195,1995-07-16,11035.0,11035.0,11035.0,11035.0
196,1995-07-17,11035.0,11035.0,11035.0,11035.0
197,1995-07-18,11025.0,11025.0,11025.0,11025.0
198,1995-07-19,11025.0,11025.0,11025.0,11025.0
199,1995-07-20,11020.0,11020.0,11020.0,11020.0
200,1995-07-21,11020.0,11020.0,11020.0,11020.0
